№%:№%:2019-02-01 20:15:59№%:№%:16308781
Днем в пятницу, 1 февраля, в Симферополе прямо на улице скончался мужчина #Симферополь #умер #мужчина https://www.3652.ru/news/2292430/v-simferopole-pramo-na-ulice-umer-muzcina№%:№%:2019-02-01 18:03:59№%:№%:16308781
Кошка, которая на три недели застряла в вентиляционной шахте симферопольской многоэтажки и была спасена неравнодушными местными жителями, погибла #Симферополь #кошка https://www.3652.ru/news/2292361/koska-kotoruu-simferopolcy-spasli-iz-plena-ventilacionnoj-sahty-pogibla-pod-kolesami-masiny-video№%:№%:2019-02-01 17:45:56№%:№%:16308781
Сегодня, 1 февраля, в Симферополе стартовала кампания по приему заявлений от родителей будущих школьников в 1 класс 2019-2020 учебного года. #Крым #Симферополь #прием #дети #школа https://www.3652.ru/news/2292322/v-pervyj-raz-v-pervyj-klass-kak-simferopolcam-zapisat-rebenka-v-skolu№%:№%:2019-02-01 17:16:33№%:№%:16308781
В выходные дни в Крыму сохранится теплая погода. #Крым #Симферополь #погода #тепло https://www.3652.ru/news/2292205/na-vyhodnyh-v-krymu-ozidaetsa-do-17№%:№%:2019-02-01 16:46:17№%:№%:16308781
В понедельник, 4 февраля, в Симферополе состоится открытие выставки "Таврический вояж", посвященной знаменитому путешествию императрицы Екатерины Великой в Крым в 1787 году #Крым #выставка #Симферополь https://www.3652.ru/news/2292165/simferopolcam-pokazut-putesestvie-ekateriny-ii-po-krymu№%:№%:2019-02-01 16:16:04№%:№%:16308781
#Игра№%:№%:2019-02-01 15:16:35№%:№%:16308781
С 12 февраля в городах и районах Крыма существенно снизятся тарифы на вывоз мусора #Симферополь #тариф #мусор https://www.3652.ru/news/2292176/tarif-na-vyvoz-musora-v-simferopole-izmenitsa-s-12-fevrala-i-stanet-odnim-iz-samyh-nizkih-po-krymu№%:№%:2019-02-01 15:15:56№%:№%:16308781
Сегодня, 1 февраля в Симферополе прошли памятные мероприятия, посвященные 48-годовщине гибели дважды Героя Советского Союза, знаменитого лётчика Амет-Хана Султана. #Крым #память #Симферополь https://www.3652.ru/news/2292134/v-simferopole-poctili-pamat-letcika-amet-hana-sultana-foto№%:№%:2019-02-01 15:04:34№%:№%:16308781
Крымские власти обещают наладить мобильную связь на трассе Симферополь-Ялта до конца года. #Крым #Симферополь #трасса https://www.3652.ru/news/2292123/do-konca-goda-na-trasse-simferopol-alta-obesaut-naladit-mobilnuu-svaz-foto№%:№%:2019-02-01 14:33:41№%:№%:16308781
#Цитата_дня  Любовь — это бесценный дар. Это единственная вещь, которую мы можем подарить и все же она у тебя остается.   Лев Николаевич Толстой№%:№%:2019-02-01 14:17:00№%:№%:16308781
Сегодня, 1 февраля в круглосуточном режиме начал работу отдел автоматизированной системы централизованного оповещения ГКУ РК "Безопасный регион". #Крым #Симферополь #запуск #система https://www.3652.ru/news/2291975/v-krymu-zapusen-novyj-kompleks-opovesenia-naselenia-foto№%:№%:2019-02-01 14:04:11№%:№%:16308781
