«На обед по 2-3 крошки хлеба»: казанцы рассказали, как выживали в блокадном Ленинграде  А мы сейчас хлеб в мусор выбрасываем...  Подробнее: http://prokazan.ru/news/view/130397/№%:№%:2019-01-31 17:00:10№%:№%:27126289
Метшин рассказал, за что ему стыдно в Казани  Читать - http://prokazan.ru/news/view/130416/№%:№%:2019-02-01 17:20:00№%:№%:27126289
Дуэт Cosmo & Skoro приезжает в Казань!  Cosmo & Skoro – это передовые артисты и музыканты Радио Рекорд, чьи треки выходили на зарубежных лейблах. В 2018 году они являлись официальными ди-джеями Чемпионата мира по футболу в России. Их еженедельное радиошоу транслируется в 164 городах с более чем миллионом слушателей.    Ресторан «Максимилианс» Казань  г. Казань, ул. Спартаковская, 6, Suvar Plaza  Телефон: +7 (843) 526-55-66  8 февраля, пятница  Сбор гостей в 23:00    Вход после 23:00: 300 рублей + депозит 500 рублей  Работаем до 05:00  подробности https://kazan.maximilians.ru/cosmo-skoro-2019/№%:№%:2019-02-01 17:00:03№%:№%:27126289
В России решили увеличить в десять раз штрафы за неявку в военкомат  Читать - https://vk.cc/8ZySuK№%:№%:2019-02-01 16:40:00№%:№%:27126289
В Татарстане полицейские вытащили вылетевший в кювет Ford  Смотреть - http://prokazan.ru/news/view/130413/№%:№%:2019-02-01 16:21:00№%:№%:27126289
Как подарить старым вещам новую жизнь 👇🏻№%:№%:2019-02-01 16:00:02№%:№%:27126289
В Казани осудили пятерых человек, требовавших бесплатный шашлык и пиво в кафе  Читать - http://prokazan.ru/news/view/130411/№%:№%:2019-02-01 15:40:00№%:№%:27126289
Бизнесмен из Нижнекамска рассказал о "ковре" из купюр в 5 тыс рублей  "Деньги настоящие" - https://vk.cc/8ZxhrL№%:№%:2019-02-01 15:20:00№%:№%:27126289
Нам правительство обещало инновации, мы получили инновации...№%:№%:2019-02-01 15:00:13№%:№%:27126289
Под Казанью сгорели девять построек, погиб мужчина  Видео - http://prokazan.ru/news/view/130409/№%:№%:2019-02-01 14:40:00№%:№%:27126289
В Челнах разыскивают девушку с татуировкой в виде самолета  Читать - https://vk.cc/8Zx6RC№%:№%:2019-02-01 14:20:01№%:№%:27126289
