№%:№%:2019-02-02 10:00:12№%:№%:33412153
В Йошкар-Оле "сотрудники" ГИБДД "развели" архитектора на алкоголь  Всю историю можете прочитать здесь: https://pg12.ru/news/42807№%:№%:2019-02-02 09:00:04№%:№%:33412153
Увидели редкое явление и сфотографировали его или сняли видео? Сообщите об этом в "Pro Город" по телефонам: 304-310 или 31-40-60.    Либо оставьте свою новость на сайте —> http://pg12.ru/add/1    Если мы опубликуем вашу новость, вы получите гонорар!  #pg12 #йошкарола #марийэл№%:№%:2019-02-02 08:30:00№%:№%:33412153
Экс-глава Марий Эл мог отправится в карцер из-за портрета Путина    Неожиданно...Но за него вступились. Подробнее: https://pg12.ru/news/42781№%:№%:2019-02-02 08:00:04№%:№%:33412153
Доброе утро субботы!№%:№%:2019-02-02 07:30:00№%:№%:33412153
В Йошкар-Оле силовики окружили школу и вывели детей на улицу    Зачем? Читайте тут: https://pg12.ru/news/42785№%:№%:2019-02-02 07:00:02№%:№%:33412153
«Соседские войны»: на что готовы йошкаролинцы за парковочное место?    Ответ читайте тут: https://pg12.ru/auto/42780№%:№%:2019-02-02 06:00:02№%:№%:33412153
Депутат Госдумы помог жителям Марий Эл «отвоевать» озеро    Как именно, тут — https://pg12.ru/news/42784№%:№%:2019-02-02 05:00:01№%:№%:33412153
Марий Эл переходит на цифровое телевидение: что это значит?  Пора покупать новые телевизоры... Подробности: https://pg12.ru/news/42808№%:№%:2019-02-02 04:00:01№%:№%:33412153
Почему в Марий Эл загорелся мебельный цех, который тушили несколько часов?  Причину назвали специалисты  Подробности: https://pg12.ru/news/42805№%:№%:2019-02-02 03:00:01№%:№%:33412153
Доброй ночи! 😉№%:№%:2019-02-01 23:55:00№%:№%:33412153
В Марий Эл после капремонта открыли Центр физической культуры и спорта    Ремонт обошелся 9,5 миллионов рублей — https://pg12.ru/news/42786№%:№%:2019-02-01 23:30:00№%:№%:33412153
На бульваре Чавайна теперь появился новый дорожный знак    Многие водители были недовольны односторонним движением. Подробнее: https://pg12.ru/news/42797№%:№%:2019-02-01 23:00:03№%:№%:33412153
Новые законы в феврале: чего ждать йошкаролинцам?   Повысятся социальные пособия. Что еще? Ответ здесь: https://pg12.ru/news/42791№%:№%:2019-02-01 22:30:01№%:№%:33412153
Маленький котик отморозил себе лапы настолько, что почти не осталось "живого" места   Малыш ищет любящих хозяев. Подробнее: https://pg12.ru/news/42787№%:№%:2019-02-01 22:00:06№%:№%:33412153
В Марий Эл приостановили работу торгового центра   Нашли ряд нарушений. Подробнее здесь: https://pg12.ru/news/42779№%:№%:2019-02-01 21:30:01№%:№%:33412153
Леонид Маркелов несколько дней прожил в ожидании карцера   Всю историю можете прочитать здесь: https://pg12.ru/news/42781№%:№%:2019-02-01 21:00:07№%:№%:33412153
Последний день! Успейте купить крутые футболки от 170 рублей до 31 января  Все подробности в лс - https://vk.com/id30695646 В группе - https://vk.com/club174622201№%:№%:2019-02-01 20:00:04№%:№%:33412153
