Открыт парк на Фиоленте 😍№%:№%:2019-02-01 21:13:00№%:№%:55342106
Это что-то новенькое )) кто знает для чего?№%:№%:2019-02-02 09:14:00№%:№%:55342106
№%:№%:2019-02-02 08:15:31№%:№%:55342106
Подрядчик реконструкции парка Победы планирует завершить работы в срок | SEVKOR.RU№%:№%:2019-02-01 21:19:59№%:№%:55342106
Севастопольский участок трассы "Таврида"№%:№%:2019-02-01 20:13:00№%:№%:55342106
В Крыму определили единые тарифы на вывоз мусора. Цены по районам  http://organaizer.info/v-krymu-opredelili-edinye-tarify-na-vyvoz-musora-ceny-po-rajonam_01-02-2019/№%:№%:2019-02-01 19:00:12№%:№%:55342106
Сегодня, возле СевГУ было собрание людей и стояли троллейбусы, кто знает в чем дело? Троллейбусы буду ходить к главному корпусу?😳 😁№%:№%:2019-02-01 17:21:00№%:№%:55342106
В Севастополе упавший на Георгиевской скале крест восстановят до конца года | SEVKOR.RU№%:№%:2019-02-01 16:52:51№%:№%:55342106
№%:№%:2019-02-01 16:13:00№%:№%:55342106
На российском лекарственном рынке разрастается серьезный скандал из-за конкуренции  http://organaizer.info/na-rossijskom-lekarstvennom-rynke-razrastaetsja-sereznyj-skandal-iz-za-konkurencii_01-02-2019/№%:№%:2019-02-01 14:38:08№%:№%:55342106
Добрый день вам снова) 🙌🏼вчера были на Фиоленте, глянуть как там обстановка с парком, рядом с Георгиевским монастырем, не пустили на территорию, ещё шли ремонтные работы, сегодня уже объявили об открытии официально) Вот так вот внезапно ☝🏼делюсь новостью и свежими фото😃 теперь уже я думаю можно спокойно туда ехать за более подробными видами 👍🏼место шикарное, как по мне💫 Надеюсь, ваши прогулки будут уже более благоприятными, а не как у нас - в холостую 😅№%:№%:2019-02-01 14:04:40№%:№%:55342106
улица Коммунистическая   📷 Алексей Нефедов№%:№%:2019-02-01 12:41:20№%:№%:55342106
В Севастополе случилось «лобовое» со стеной. Фото с места инцидента  http://organaizer.info/v-sevastopole-sluchilos-lobovoe-so-stenoj-foto-s-mesta-incidenta_01-02-2019/№%:№%:2019-02-01 12:00:14№%:№%:55342106
📢 В Севастополе начали выдавать персонифицированные карты ЕГКС  Персонифицированные ЕГКС выдаются льготникам, имеющим право на бесплатный проезд в транспорте. В Севастополе льготным проездом пользуются 28 категорий граждан. Органы соцзащиты и МФЦ уже приняли от горожан более 19 тысяч заявлений на выдачу таких ЕГКС.    На персонифицированную ЕГКС льготник также может получать пособие или пенсию.    Карты граждане будут получать в отделениях «Генбанка» и банка «Россия» после получения, соответствующего СМС.    Обеспечить всех льготников ЕГКС в Севастополе планируют за три месяца.№%:№%:2019-02-01 11:13:00№%:№%:55342106
