№%:№%:2019-01-31 09:05:05№%:№%:104083518
№%:№%:2019-02-01 16:30:01№%:№%:104083518
Магнитики города№%:№%:2019-02-01 15:41:07№%:№%:104083518
Сегодня комиссия в Батайске из всяких юристов, советников и полицейских провела рейд по дорогам нашего города. И представляете, выявили что дороги в очень ужасном состоянии.   Ждём скорейшего появления в Ростове!  #ревизор@etorostovnadonu #батайск@etorostovnadonu№%:№%:2019-02-01 15:00:13№%:№%:104083518
Вот и дождались: на Каменке идёт ликвидация кладбища игрушек! Страшного дерева больше не будет👍🏻 #ревизор@etorostovnadonu№%:№%:2019-02-01 14:52:52№%:№%:104083518
№%:№%:2019-02-01 14:30:03№%:№%:104083518
ДТП на пересечении Зорге/Стачки. Ударились Камри и Гольф.  Cтали очевидцем ДТП - присылайте свои фото и видео дтп в  ЛС админа vk.com/donrekl или паблика vk.me/etorostovnadonu  #дтп@etorostovnadonu№%:№%:2019-02-01 14:24:31№%:№%:104083518
Подписчик: «Болгарстрой на связи! Объявление у нас в подъезде на Стрелковой. Видимо автора сильно укурки достали...»  #надписи@etorostovnadonu№%:№%:2019-02-01 14:08:25№%:№%:104083518
На Левенцовка завёлся вредитель авто.  Сегодня пострадал ещё один автомобиль. KIA RIO прилетело в лобовое стекло. Ранее он уже повредил несколько автомобилей 👉🏻 https://vk.com/wall-104083518_885277 #происшествия@etorostovnadonu #левенцовка@etorostovnadonu№%:№%:2019-02-01 14:02:25№%:№%:104083518
Вели́к Ростов-на-Дону...№%:№%:2019-02-01 13:35:11№%:№%:104083518
😁 #юмор@etorostovnadonu№%:№%:2019-02-01 13:05:17№%:№%:104083518
Гаражный стритарт№%:№%:2019-02-01 12:35:07№%:№%:104083518
Левый, левый берег Дона№%:№%:2019-02-01 12:07:29№%:№%:104083518
#юмор@etorostovnadonu№%:№%:2019-02-01 11:55:00№%:№%:104083518
😄№%:№%:2019-02-01 11:45:13№%:№%:104083518
Необычная крышка люка в парке Революции№%:№%:2019-02-01 11:30:14№%:№%:104083518
На Лелюшенко (Темерник) группа цыганских лиц возле гипермаркета Магнит что-то перебрасывала через забор. Подписчик предположил, что это была кража.   Как считаете, может свой товар так из магазина цыгане выносят? Или службу безопасности проверяют на быстроту действий 🕺🏻  Присылайте свои посты для рубрики #происшествия@etorostovnadonu№%:№%:2019-02-01 11:29:06№%:№%:104083518
Не пора-ли уже штрафовать! Взяли моду! Маршрут № 18 периодически при следовании в направлении пл.К.Маркса - мкр.Суворовский в вечернее время суток на остановке Королёва 4 в районе 20.00 пересаживают оставшихся в салоне пассажиров. следующих от Королёва до Суворовского (10-15 человек) в другой, впереди или сзади идущий автобус. "Срубив" деньги до Королёва 4 и, оставшись почти полу-пустыми, водители некоторых автобусов не желают дальше ехать по маршруту (не выгодно) и пересаживают, заранее договорившись и поджидая друг-друга на остановках по 3-5 минут, оставшихся пассажиров. только на моей памяти это уже 7-й случай. Два из них произошло с автобусом № М315РУ. Последний - вчера. Почему люди, после работы, после "штурма" автобуса на остановках, должны ещё прыгать, бежать галопом в другой автобус?! Существует-ли у них Договор о предоставлении услуг по перевозке пассажиров и не нарушают-ли они его?...А жителям Суворовского предлагаю в таких случаях тому водителю, куда Вас пересадили, ЗА ПРОЕЗД НЕ ПЛАТИТЬ! И проблема уйдёт...  Другие посты из рубрики: #транспорт@etorostovnadonu№%:№%:2019-02-01 11:10:00№%:№%:104083518
№%:№%:2019-02-01 10:10:01№%:№%:104083518
«Я не буду платить за этот развод!».  Водитель доказывает, что платная дорога М4 "ДОН" на самом деле бесплатная.   20 декабря 2018 года мы прибыли на "Пункт взимания платы" за проезд по "платному участку дороги". Взамен платы за проезд мы попросили договор на оказание платных услуг, лицензию, а также документацию, подтверждающую собственность или аренду. В ответ мы не получили ничего, кроме внутренней документации фирмы ООО "ОССП", которая к нам не имеет никакого отношения. После вызова сотрудников полиции, за наш проезд заплатили сотрудники ПВП!! а ДОГОВОРА так и нет.  #авто@etorostovnadonu #ревизор@etorostovnadonu№%:№%:2019-02-01 10:07:09№%:№%:104083518
Привет от Кометы - обитателя Ростовского зоопарка ✌ #зоопарк@etorostovnadonu№%:№%:2019-02-01 10:03:49№%:№%:104083518
Дo вeсны остaлось 28 дней№%:№%:2019-02-01 08:54:00№%:№%:104083518
Записка на одном из банкоматов #надписи@etorostovnadonu№%:№%:2019-02-01 08:43:22№%:№%:104083518
На Коммунистическом,25 падают кирпичи с крыши.   Присылайте свои посты для рубрики #жкх@etorostovnadonu№%:№%:2019-02-01 08:38:04№%:№%:104083518
№%:№%:2019-02-01 08:22:04№%:№%:104083518
«Когда я покупал себе этого котенка, продавец положил в комплект лоток, библию, осиновый кол и вискас с чесноком. Интересно, зачем?»№%:№%:2019-02-01 05:40:18№%:№%:104083518
Нахичевань№%:№%:2019-02-01 05:10:13№%:№%:104083518
Изысканная лепнина в одном магазинов на Семашко #архитектура@etorostovnadonu№%:№%:2019-02-01 01:42:52№%:№%:104083518
Ответ в комментарии 👇🏻№%:№%:2019-02-01 01:05:14№%:№%:104083518
Дары Дона #дон@etorostovnadonu№%:№%:2019-02-01 00:53:39№%:№%:104083518
Троицкий собор в ночи, СЖМ #СЖМ@etorostovnadonu№%:№%:2019-02-01 00:46:53№%:№%:104083518
№%:№%:2019-01-31 23:52:00№%:№%:104083518
Сегодня днём на парковке у детской областной больницы г Ростова, в промежутке между 10.20-11.00 дня, в 20-минутное отсутствие водителя автомобиля ( находились в больнице,как раз во время экстренной эвакуации), неизвестный выбил окно и украл..как вы думаете что?... Школьный рюкзак, в котором помимо дорогих лекарств были важные вещи ребенка... Вещи..не деньги, не телефон, не планшет... Если вдруг кто видел происшествие, просьба откликнуться! Ну а неизвестного похитителя прошу вернуть вещи... Пожалуйста!...  ⚠Администрация паблика «Это Ростов-на-Дону!» настоятельно рекомендует не оставлять никаких ценных вещей в автомобиле. Лучше, чтобы вообще ничего не было. Бьют стёкла даже ради совершенно не ценных вещей, таких как: сигареты, алкоголь, зонтики, зарядки и т.д. Тонировка не помогает - преступники просвечивают её мощными фонариками. Лучше всего всё спрятать в багажник и сделать это заранее в другом месте, а не там, где вы оставляете машину(воры часто работают не одни, трутся возле парковок и могут увидеть, что вы переложили сумку в багажник, и намеренно полезть в авто. А ещё есть одиночки-наркоманы и другие маргиналы). Помните, ежедневно жертвами воров становятся десятки автолюбителей. Шанс получить разбитое окно и кражу выше, чем в лотерее.  Присылайте свои посты для рубрики #происшествия@etorostovnadonu№%:№%:2019-01-31 23:50:24№%:№%:104083518
Город Зверево, Ростовская область, вот так у нас посыпают дороги в 21 веке...  Присылайте свои посты для рубрики #жкх@etorostovnadonu№%:№%:2019-01-31 23:23:53№%:№%:104083518
Сильное ДТП в Батайске, на пересечении Куйбышева/Садовой, несколько минут назад. Все живы. 4 машины повреждено.  Cтали очевидцем ДТП - присылайте свои фото и видео дтп в  ЛС админа vk.com/donrekl или паблика vk.me/etorostovnadonu  #дтп@etorostovnadonu№%:№%:2019-01-31 23:19:55№%:№%:104083518
Пишет Кристина Богданова: «Вот так вот люди отдыхают! Вроде взрослые, а за счёт заплатить не в силах. Заказали шашлыки, водку, закуски на 6000руб. Один от возлияний заснул. Второй под видом того, что доведёт заснувшего до машины, ушёл и не вернулся.  Кто узнал этих жуликов - передайте им, что мы ждём их с 6000р.»  Присылайте и вы свои посты для рубрики #кражиграбежи@etorostovnadonu№%:№%:2019-01-31 23:06:22№%:№%:104083518
Когда собака гуляет со своим хозяином, всем нам это кажется обычным делом, а в отношении кошек с таким встречаюсь впервые. Моей Лизке уже седьмой год и чувствует себя хозяйкой всего дома. Раньше на улицу выходила одна и всё решалось без проблем, но когда в соседнем подъезде появился котёнок Мурзик, начался процесс воспитательной работы: Здесь не ходи, здесь не сиди... Ласки хочется каждому домашнему животному и когда уже подросший кот стал подходить ко мне, в дело пошли лапы с когтями. Мой хозяин, так решила кошка и чужим нечего с ним делать. Теперь, когда я выхожу с ней на улицу делать туалет, увидев соседа для порядка мяукает, что- бы он её услышал и уже потом обходим весь двор. Кот стал взрослым, но порядки установленые старшими старается соблюдать. Такую Лизку- в каждый дом! В. Солдатов. Таганрог.  #животные@etorostovnadonu№%:№%:2019-01-31 22:39:55№%:№%:104083518
Кто потерял пса из охотников я знаю вы приезжали и ждали его пёс "ХАСКИ" пишите в комменты чей!!! Он сидит скучает ждёт хозяев!!!№%:№%:2019-01-31 22:31:11№%:№%:104083518
Подписчица возмущена: «Просто идеальная поза работника Ашана в горизонте👍»  Присылайте и вы свои посты для рубрики #ревизор@etorostovnadonu№%:№%:2019-01-31 21:39:07№%:№%:104083518
Подписчица: «Будьте осторожны если поедете на этом автобусе # 99!!!!  Автобус очень холодный, грязный, старый весь автобус скрипит! Водитель не соблюдает правила дорожного движения и хамит!»  Присылайте и вы свои посты для рубрики #транспорт@etorostovnadonu№%:№%:2019-01-31 21:26:56№%:№%:104083518
