Обсудили проект плана мероприятий к 100-летию автономии№%:№%:2019-02-01 21:07:02№%:№%:42594637
Вниманию природопользователей: плата за НВОС в 2018 году№%:№%:2019-02-01 20:06:52№%:№%:42594637
Определены победители и призеры VIII Республиканского фестиваля-конкурса детского народного творчества «Хамдан» №%:№%:2019-02-01 12:07:35№%:№%:42594637
Глава Калмыкии принял участие в мероприятиях к 10-летию Поместного Собора Русской Православной Церкви и Патриаршей интронизации 2009 года№%:№%:2019-01-31 21:04:16№%:№%:42594637
Цифровизация власти по-калмыцки№%:№%:2019-01-31 13:05:47№%:№%:42594637
В Калмыкии освобождены от своих должностей ряд чиновников №%:№%:2019-01-31 12:05:49№%:№%:42594637
Власти Калмыкии создают Центр поддержки экспорта№%:№%:2019-01-30 13:07:24№%:№%:42594637
Трое мужчин предстанут перед судом за совершенные преступления№%:№%:2019-01-30 11:06:04№%:№%:42594637
В Калмыкии задержан мужчина, находившийся в международном розыске за совершение убийства в Элисте№%:№%:2019-01-29 13:04:20№%:№%:42594637
Житель поселка Яшкуль предстанет перед судом за двойное убийство и покушение на убийство№%:№%:2019-01-29 12:06:58№%:№%:42594637
Губернатор Орлов укрепляет цифровизацию Калмыкии№%:№%:2019-01-28 19:05:58№%:№%:42594637
Калмыцкие полицейские подвели итоги работы за прошлый год№%:№%:2019-01-27 15:01:59№%:№%:42594637
В Центральном хуруле Калмыкии ведется запись паломников на Учения Далай-ламы для буддистов России в Дели№%:№%:2019-01-26 17:02:43№%:№%:42594637
В Калмыкии разыскивают пропавшего подростка№%:№%:2019-01-25 18:03:07№%:№%:42594637
С Днём российского студенчества!№%:№%:2019-01-25 13:05:50№%:№%:42594637
За кражу телефона на элистинку заведено уголовное дело№%:№%:2019-01-25 11:01:42№%:№%:42594637
14-летний житель села Садовое признан виновным в двух кражах№%:№%:2019-01-24 19:01:43№%:№%:42594637
В Целинном районе завершен ремонт детской поликлиники и стационара№%:№%:2019-01-24 13:04:53№%:№%:42594637
В Калмыкии стартовала республиканская олимпиада школьников  по 10 предметам этнокультурной направленности№%:№%:2019-01-23 19:07:35№%:№%:42594637
