Задержан глава полиции по Ишимбайскому району Башкирии.№%:№%:2019-02-01 17:10:05№%:№%:23967044
Уфимцев просят перепарковать автомобили №%:№%:2019-02-01 16:50:00№%:№%:23967044
🔥 Десятки сломленных судеб и разрушенных семей 🔥 №%:№%:2019-02-01 16:30:02№%:№%:23967044
Радий Хабиров проводит опрос среди подписчиков в соцсетях №%:№%:2019-02-01 16:10:00№%:№%:23967044
Учащихся Башкирии начнут готовить ко взрослой жизни еще в школе. №%:№%:2019-02-01 15:50:00№%:№%:23967044
⛄Погода на выходной в Башкирии №%:№%:2019-02-01 15:30:04№%:№%:23967044
Главный госавтоинспектор республики Динар Гильмутдинов сообщил о ДТП в Белебеевском районе.№%:№%:2019-02-01 15:10:08№%:№%:23967044
Ми-ми-ми новости: В Уфе спасли крохотного ночного зверя №%:№%:2019-02-01 14:50:00№%:№%:23967044
Радий Хабиров не понимает куда в Башкирии пропали лекарства. На них выделено 11 миллиардов рублей.№%:№%:2019-02-01 14:30:02№%:№%:23967044
Радий Хабиров поручил обеспечить бесплатное лекарственное обеспечение для некоторых пациентов в Башкирии№%:№%:2019-02-01 14:10:02№%:№%:23967044
Дело владельца сети магазинов по продаже шин и радиостанции продолжается.№%:№%:2019-02-01 13:50:00№%:№%:23967044
«Надо создать атмосферу нетерпимости» №%:№%:2019-02-01 13:30:04№%:№%:23967044
«Началась настоящая паника»№%:№%:2019-02-01 13:10:01№%:№%:23967044
Гонка на снегоходах, парашютисты и взрывы: бойцы Росгвардии показали голливудский экшн №%:№%:2019-02-01 12:50:00№%:№%:23967044
Все на борьбу со снегом!№%:№%:2019-02-01 12:30:02№%:№%:23967044
Инфа для мамочек: в Башкирии пересчитали детские пособия№%:№%:2019-02-01 12:10:00№%:№%:23967044
В Сибае уже как третий месяц введен режим повышенной готовности к ЧС. Так кто виноват в этой ситуации?№%:№%:2019-02-01 11:50:00№%:№%:23967044
Пойдем, покатаемся на коньках?№%:№%:2019-02-01 11:30:02№%:№%:23967044
Он вывел четырехмесячного ребенка на улицу и на морозе забил до смерти ногами№%:№%:2019-02-01 11:10:01№%:№%:23967044
Большой скандал внутри правительства №%:№%:2019-02-01 10:50:00№%:№%:23967044
Емельяненко оказался популярнее Нурмагомедова №%:№%:2019-02-01 10:30:03№%:№%:23967044
👍🏻Школьников Башкирии будут учить водить машину№%:№%:2019-02-01 10:10:02№%:№%:23967044
В Башкирии за месяц от женщин с опасной инфекцией родились 28 детей №%:№%:2019-02-01 09:50:00№%:№%:23967044
«Доброта для художника губительна». №%:№%:2019-02-01 09:30:03№%:№%:23967044
В Уфе сбили первоклассника№%:№%:2019-02-01 09:10:01№%:№%:23967044
Радий Хабиров потребовал, чтобы жители Башкирии больше не покупали лекарства на свои деньги №%:№%:2019-02-01 08:50:00№%:№%:23967044
В школах Башкирии произойдут серьезные изменения№%:№%:2019-02-01 08:30:03№%:№%:23967044
Запрет на курение за рулем, новые номера и камеры: большое интервью с Динаром Гильмутдиновым№%:№%:2019-02-01 08:10:00№%:№%:23967044
84-летняя пенсионерка целый день ждала участкового терапевта, но безрезультатно 🤷🏽‍♀№%:№%:2019-02-01 07:50:00№%:№%:23967044
В Госкомторге назвали самый продаваемый в Башкирии алкогольный напиток№%:№%:2019-02-01 07:30:02№%:№%:23967044
Начальник ГИБДД Башкирии рассказал, как на него влияют публикации в соцсетях№%:№%:2019-02-01 07:10:00№%:№%:23967044
Некоторым жителям Башкирии полагаются налоговые льготы №%:№%:2019-02-01 06:50:00№%:№%:23967044
🔥 Коллекторы превратили жизнь уфимца в ад! 🔥 №%:№%:2019-02-01 06:30:01№%:№%:23967044
Стало известно сколько зарабатывают заключённые в Башкирии№%:№%:2019-02-01 06:10:00№%:№%:23967044
В скандальном долгострое новые нарушения.№%:№%:2019-02-01 05:50:00№%:№%:23967044
"Неудобные вопросы" футболисту "Уфы" №%:№%:2019-02-01 05:30:00№%:№%:23967044
Стало известно, какие сюрпризы готовят нам февраль и март№%:№%:2019-02-01 05:10:00№%:№%:23967044
В Башкирии растет число людей, подхвативших опасную инфекцию №%:№%:2019-01-31 21:50:00№%:№%:23967044
Жители Уфы хотят назвать улицы именами Даяна Мурзина и купцов Блохиных№%:№%:2019-01-31 21:30:02№%:№%:23967044
Террориста из Башкирии отправили в психиатрическую больницу.№%:№%:2019-01-31 21:10:04№%:№%:23967044
Минздрав Башкирии покинули два заместителя№%:№%:2019-01-31 20:50:00№%:№%:23967044
Вынесено решение о работе шапито.№%:№%:2019-01-31 20:30:04№%:№%:23967044
В Национальной библиотеке развернулось такооое шоу 🔥💃🏿№%:№%:2019-01-31 20:10:10№%:№%:23967044
Не смогли отстоять репутацию башкирского меда.№%:№%:2019-01-31 19:50:00№%:№%:23967044
Роспотребнадзор: Уфа в преддверии эпидемии гриппа.№%:№%:2019-01-31 19:30:02№%:№%:23967044
Сегодня в Башкирии массово эвакуировали школы, больницы и другие объекты. №%:№%:2019-01-31 19:10:03№%:№%:23967044
В Башкирии проверили ингредиенты для шаурмы№%:№%:2019-01-31 18:50:00№%:№%:23967044
В Уфе будут ремонтировать половину важнейшего путепровода№%:№%:2019-01-31 18:30:02№%:№%:23967044
ФК «Уфа»: кого подписали и потеряли №%:№%:2019-01-31 18:10:08№%:№%:23967044
В Башкирии падает число избирателей№%:№%:2019-01-31 17:50:00№%:№%:23967044
В Уфе мужчина катался на лыжах и обнаружил находку в сугробе№%:№%:2019-01-31 17:30:04№%:№%:23967044
«Не выдержала мук совести»№%:№%:2019-01-31 17:10:03№%:№%:23967044
«Прошел год, а мы все ждем» №%:№%:2019-01-31 16:50:00№%:№%:23967044
До конца года на дорогах Башкирии появится 663 новых камер№%:№%:2019-01-31 16:30:02№%:№%:23967044
🔥 Полная версия концерта Элвина Грея в Уфе! 🔥№%:№%:2019-01-31 16:10:02№%:№%:23967044
Изменения, вступающие в силу с 1 февраля 2019 года №%:№%:2019-01-31 15:50:00№%:№%:23967044
Башгидромет опубликовал прогноз погоды на 1 февраля №%:№%:2019-01-31 15:30:04№%:№%:23967044
😢 "Он будет жить ради своих детей" 😢№%:№%:2019-01-31 15:10:04№%:№%:23967044
Очередная отставка в верхушке. №%:№%:2019-01-31 14:50:00№%:№%:23967044
Уфимская пенсионерка в 82 года легко садиться на шпагат. №%:№%:2019-01-31 14:30:03№%:№%:23967044
Радий Хабиров подписал указ о выдаче льготного оборудования для некоторых категорий граждан №%:№%:2019-01-31 14:10:00№%:№%:23967044
Возраст моде не помеха№%:№%:2019-01-31 13:50:00№%:№%:23967044
В Уфе около 50 человек, среди них дети и пенсионеры, живут в доме, который вот-вот готов развалиться на глазах.№%:№%:2019-01-31 13:30:02№%:№%:23967044
В Уфе скорая увезла двух парней в больницу, но спасти их не удалось.№%:№%:2019-01-31 13:10:00№%:№%:23967044
Жители Башкирии получили дорожные штрафы с шестизначными цифрами №%:№%:2019-01-31 12:50:00№%:№%:23967044
Стала известна причина, по которой пропали школьники№%:№%:2019-01-31 12:30:02№%:№%:23967044
Эксперты рассказали, какие заведения чаще всего открывают в Уфе №%:№%:2019-01-31 12:10:01№%:№%:23967044
Радий Хабиров призвал депутатов Госдумы от Башкирии привлекать больше денег в республику.№%:№%:2019-01-31 11:50:00№%:№%:23967044
Стало известно, где были подростки №%:№%:2019-01-31 11:30:03№%:№%:23967044
⚡ Массовые эвакуации в Башкирии: более 20 объектов по республике, четыре школы в Уфе.№%:№%:2019-01-31 11:10:01№%:№%:23967044
В Башкирии прекратили поиски двух пропавших подростков№%:№%:2019-01-31 10:50:00№%:№%:23967044
Какую погоду ожидать в Уфе в выходные? №%:№%:2019-01-31 10:30:03№%:№%:23967044
В Башкирии появились новые выгодные вакансии №%:№%:2019-01-31 10:10:00№%:№%:23967044
Цифровое ТВ в Башкирии: кто и как может получить господдержку №%:№%:2019-01-31 09:50:00№%:№%:23967044
У Светланы Тейц из Башкирии инвалидность третьей группы. Живет в одиночестве, сын погиб при прохождении срочной службы.№%:№%:2019-01-31 09:30:02№%:№%:23967044
«После трагедии муж собирал деньги с какой-то чужой женщиной, и все потратил на себя»№%:№%:2019-01-31 09:10:00№%:№%:23967044
Проект "Радость нашего дома" телеканала "Вся Уфа" принёс первые плоды. №%:№%:2019-01-31 08:50:00№%:№%:23967044
Стало известно, сколько жителям Башкирии в среднем не хватает до зарплаты№%:№%:2019-01-31 08:30:02№%:№%:23967044
В этом году начнут строить прямой выезд из проблемного микрорайона Уфы №%:№%:2019-01-31 08:10:00№%:№%:23967044
Вынуждают брать старые авто за сотни тысяч: уфимский автосалон зарабатывает на доверии людей? №%:№%:2019-01-31 07:50:00№%:№%:23967044
Чиновник, убиравший снег в Уфе, оказался фейком!№%:№%:2019-01-31 06:50:00№%:№%:23967044
Спрос на уборку снега в Уфе вырос вдвое №%:№%:2019-01-31 06:30:01№%:№%:23967044
🔥 В Башкирии обанкротился один из самых успешных колхозов 🔥 №%:№%:2019-01-31 06:10:00№%:№%:23967044
Радий Хабиров назвал сроки реконструкции важного объекта в Сибае№%:№%:2019-01-31 05:50:00№%:№%:23967044
В Уфе наконец-то будет свой городской приют для собак и кошек№%:№%:2019-01-31 05:30:00№%:№%:23967044
Глава администрации Сибая Рустем Афзалов сообщил, когда будут готовы отправить в крымские санатории детей. №%:№%:2019-01-31 05:10:00№%:№%:23967044
В Башкирии бушует вирус - заболели тысячи детей и взрослых№%:№%:2019-01-30 22:10:00№%:№%:23967044
Властям Башкирии срочно нужен свой самолёт и вертолёт№%:№%:2019-01-30 21:50:00№%:№%:23967044
Завтра утром водителей Уфы ждут массовые проверки №%:№%:2019-01-30 21:30:02№%:№%:23967044
«Она мне не понравилась — была слишком старой. Ее это очень разозлило», - так студент уфимского вуза оценил встречу с проституткой№%:№%:2019-01-30 21:10:00№%:№%:23967044
Многие студенты так подрабатывают №%:№%:2019-01-30 20:50:00№%:№%:23967044
«Мусорная реформа»: первый месяц действия в Башкирии№%:№%:2019-01-30 20:30:03№%:№%:23967044
Защитник ФК «Уфа» - о невиданном ранее сопернике №%:№%:2019-01-30 20:10:04№%:№%:23967044
Первый замглавы Минздрава Башкирии: «Воздух в Сибае - как в природном санатории» №%:№%:2019-01-30 19:50:00№%:№%:23967044
Бумажная бахрома. В Уфе будут бороться с нелегальными объявлениями томским методом.№%:№%:2019-01-30 19:30:04№%:№%:23967044
«Пинали ногами и выбили зубы»: в медколледже Уфы избили студентку-сироту№%:№%:2019-01-30 19:10:06№%:№%:23967044
Ее ищут уже девять лет№%:№%:2019-01-30 18:50:00№%:№%:23967044
Прокуратура Сибая подала в суд на местную администрацию и филиал Учалинского ГОК.№%:№%:2019-01-30 18:30:05№%:№%:23967044
В Уфе 5-летнюю девочку зажало в духовке№%:№%:2019-01-30 18:10:03№%:№%:23967044
Студент на перепутье№%:№%:2019-01-30 17:50:00№%:№%:23967044
Уфимские власти обратились к собственникам жилья №%:№%:2019-01-30 17:30:02№%:№%:23967044
В Уфе прикрыли мошенников, обещавших высокую прибыль№%:№%:2019-01-30 17:10:00№%:№%:23967044
«Это очень плохая логика»: профессор башкирской Академии Наук пожаловался на транспортный коллапс в Уфе №%:№%:2019-01-30 16:50:00№%:№%:23967044
