В Пречистом завершено строительство здания бассейна№%:№%:2019-01-17 09:45:20№%:№%:95388014
В Пречистом завершено строительство здания бассейна№%:№%:2019-01-17 09:30:17№%:№%:95388014
Новую передвижную технику получили 8 центральных районных больниц и 2 станции скорой помощи№%:№%:2019-01-17 09:15:25№%:№%:95388014
Новую передвижную технику получили 8 центральных районных больниц и 2 станции скорой помощи№%:№%:2019-01-17 09:01:51№%:№%:95388014
28 туристических маршрутов Ярославии предложены для включения в федеральный проект «Живые уроки»№%:№%:2019-01-17 08:45:34№%:№%:95388014
Ансамбль ростовской фабрики «Рольма» отнесен к категории памятников местного значения№%:№%:2019-01-17 06:30:30№%:№%:95388014
За год за пользование лесами Ярославской области в федеральный и региональный бюджеты поступило 250 миллионов рублей№%:№%:2019-01-17 06:15:10№%:№%:95388014
В Ярославле прошла пресс-конференция, посвященная безопасному празднованию Крещения№%:№%:2019-01-17 05:15:16№%:№%:95388014
В Ярославле прошла пресс-конференция, посвященная безопасному празднованию Крещения№%:№%:2019-01-17 05:00:53№%:№%:95388014
В Рыбинске возбуждено уголовное дело в отношении местного жителя, подозреваемого в уклонении от призыва на военную службу№%:№%:2019-01-17 03:45:14№%:№%:95388014
В добровольческом (волонтерском) центре «Научись спасать жизнь» организована профессиональная подготовка волонтеров№%:№%:2019-01-17 03:15:14№%:№%:95388014
В добровольческом (волонтерском) центре «Научись спасать жизнь» организована профессиональная подготовка волонтеров№%:№%:2019-01-17 03:00:57№%:№%:95388014
В Главном управлении МЧС России по Ярославской области проведено заседание КЧС и ОПБ№%:№%:2019-01-17 02:45:18№%:№%:95388014
С конца января откроется региональная горячая линия по вопросам перехода на цифровое телевещание№%:№%:2019-01-17 02:32:27№%:№%:95388014
С конца января откроется региональная горячая линия по вопросам перехода на цифровое телевещание№%:№%:2019-01-17 02:15:33№%:№%:95388014
В регионе сформирован сводный том предельно допустимых выбросов загрязняющих веществ№%:№%:2019-01-17 02:01:05№%:№%:95388014
В регионе сформирован сводный том предельно допустимых выбросов загрязняющих веществ№%:№%:2019-01-17 01:45:36№%:№%:95388014
10 представителей Ярославской области вышли в полуфинал конкурса управленцев «Лидеры России»№%:№%:2019-01-17 01:30:28№%:№%:95388014
