⭐ Афиша выходных: ночь на ОбьГЭСе, хаски и солдатские трофеи. Подробнее: https://goo.gl/VUaPph№%:№%:2019-02-01 16:26:18№%:№%:30453222
Советское мозаичное панно художника-фронтовика Василия Кирьянова, за которое вступился Зураб Церетели, оставят потомкам в неизменном виде. Культурную ценность взяли под охрану.№%:№%:2019-02-01 16:50:05№%:№%:30453222
Международное агентство Fitch подтвердило рейтинги города Новосибирска на уровне BB с прогнозом «Стабильный», сообщили в пресс-центре мэрии. Это означает, что город имеет стабильный положительный текущий баланс и может держать дефицит бюджета под контролем в среднесрочной перспективе.№%:№%:2019-02-01 15:07:09№%:№%:30453222
1 февраля в Новосибирской филармонии впервые проходит акция «Подари абонемент детям». Купленные абонементы сразу передадут адресатам, но акция продолжится — приобрести абонементы на разные программы филармонии для детей из малообеспеченных семей или сирот можно в любой другой день. Подробнее — в сюжете: https://goo.gl/ye5Q4n№%:№%:2019-02-01 14:15:12№%:№%:30453222
Что изменилось в Калининском районе за последние 5 лет и чего ждать в ближайшем будущем? В районе сдали 12 000 новых квартир, строят новую трассу к «Стрижам» и «Родникам». А в феврале в детский сад пойдут ещё 200 детей — начнёт работать второй корпус детского сада №388. Подробнее — в сюжете «Новосибирских новостей»:№%:№%:2019-02-01 13:17:04№%:№%:30453222
В составе региональной делегации мэр Новосибирска встретился с президентом Республики Беларусь Александром Лукашенко. На встрече обсуждали возможность покупки для Новосибирска новых троллейбусов на автономном ходу, дизельных автобусов МАЗ и тракторов МТЗ. Об этом Анатолий Локоть рассказал на традиционной еженедельной встрече с журналистами: https://goo.gl/eEWUJm№%:№%:2019-02-01 10:31:07№%:№%:30453222
В гостях у ведущих «Вечернего разговора о спорте» побывал победитель молодёжного чемпионата мира по хоккею с мячом Валентин Голубятников и тренер молодёжного состава клуба «Сибсельмаш» Сергей Рогулёв. В эфире радио «Городская волна» спортсмены рассказали, как играют в −30, зачем надевают маски для сноуборда и почему лёд имеет значение: https://goo.gl/6aBz6U№%:№%:2019-02-01 09:49:21№%:№%:30453222
110 дворов отремонтируют в центре города в этом году. На благоустройство выделят более 100 миллионов рублей из бюджетов всех уровней. Также продолжат капитальный ремонт главной магистрали города — Красного проспекта.№%:№%:2019-02-01 08:46:35№%:№%:30453222
Фотосессию с собакой кинологов, которая искала бомбу, устроили в день «минирований» в городской администрации Новосибирска. Позитивный снимок выложила в соцсетях начальник департамента культуры, спорта и молодёжной политики Анна Терешкова.№%:№%:2019-02-01 06:57:53№%:№%:30453222
Железнодорожному вокзалу «Новосибирск-Главный» недавно исполнилось 80 лет. А так он выглядел в 1950-е годы.№%:№%:2019-02-01 05:15:03№%:№%:30453222
Согревающей пятницы ☕№%:№%:2019-02-01 02:15:07№%:№%:30453222
Как понять, что началось обморожение и что с этим делать (идти к врачу, конечно).№%:№%:2019-01-31 18:15:24№%:№%:30453222
Восточный обход Новосибирска должен соединить Северный обход с федеральной трассой «Чуйский тракт» в районе посёлка Линёво. Сейчас идёт строительство совмещённой эстакады с мостом через реку Иня и путепроводом через железнодорожные пути Транссибирской магистрали.№%:№%:2019-01-31 15:45:08№%:№%:30453222
🌺 Цветы из сахарной пасты, неотличимые от живых, скульптурные торты, сладкие инсталляции, конфеты с космическим дизайном и эклеры в виде огурцов — работы новосибирского кондитера Любови Ки удивляют и завораживают. Как выглядят эти произведения кондитерского искусства и чем они так поражают 67,5 тысяч её подписчиков в Instagram:№%:№%:2019-01-31 15:10:00№%:№%:30453222
Новосибирск откажется от использования песка и соли на дорогах. Противогололёдный реагент на основе речного песка заменят миксом из каменной крошки и современным «Бионордом». Подробнее: https://goo.gl/PY9nZd№%:№%:2019-01-31 14:28:48№%:№%:30453222
Мэр Анатолий Локоть, комментируя массовые угрозы о взрывах в Новосибирске, назвал происходящее «информационным терроризмом» и попросил сохранять спокойствие — в городе принимаются все необходимые меры для безопасности жителей.№%:№%:2019-01-31 13:15:26№%:№%:30453222
С наступлением холодов жители Новосибирска всё чаще сталкиваются с тем, что подъезды их домов обживают бездомные. Это всегда неприятно, некомфортно и, как правило, небезопасно. Узнали, что делать, если у вас под дверью сидит бездомный, а ваше человеколюбие не позволяет выгнать его на мороз: https://goo.gl/ANF9zV№%:№%:2019-01-31 11:05:41№%:№%:30453222
Сегодня на театральной сцене — пластический спектакль по пьесе Лорки, а в музеях — продолжается выставка уникальных кукол и выставка необычных скульптур из деревянной стружки. Подробнее: https://goo.gl/M8Jt9A№%:№%:2019-01-31 10:29:25№%:№%:30453222
К 2023 году Ленинский район должен стать лицом Новосибирска. Что уже сделали, чтобы достойно встретить хоккеистов и болельщиков Молодёжного чемпионата мира, и когда откроются новые школа и детский сад в микрорайоне «Чистая слобода»: https://goo.gl/yANfhF№%:№%:2019-01-31 09:50:18№%:№%:30453222
Расплатиться за проезд теперь можно с помощью специального мобильного приложения — новый способ появился в некоторых маршрутных такси. Разработчики уверяют, что система не только удобна в час пик, но и позволят сэкономить. Узнали, пассажиры каких маршрутов могут воспользоваться смартфоном вместо наличных.№%:№%:2019-01-31 08:30:07№%:№%:30453222
На реализацию национального проекта «Здравоохранение» в Новосибирской области в 2019–2024 годах будет выделено более 35 миллиардов рублей. На эти средства власти планируют запустить санавиацию, построить поликлиники и фельдшерско-акушерские пункты, создать сосудистый центр и центры амбулаторной помощи онкобольным.№%:№%:2019-01-31 06:05:00№%:№%:30453222
⚡ Сегодня в 18:00 на радио «Городская волна» (101,4 FM) Анатолий Локоть расскажет о городских приоритетах и задачах на 2019 год и ответит на вопросы горожан в прямом эфире.№%:№%:2019-01-31 05:15:03№%:№%:30453222
«Крепитесь люди, скоро лето!» ✊№%:№%:2019-01-31 02:15:58№%:№%:30453222
С 31 января синоптики обещают серьёзное похолодание (местами до -40°C). Как правильно утепляться и защитить кожу от мороза — смотрите в коротком видео. Берегите себя ❤️№%:№%:2019-01-30 18:15:30№%:№%:30453222
Новые «умные» остановки смонтируют на главных транспортных магистралях Новосибирска и впишут в архитектурный облик. Все павильоны оснастят кнопкой 112, Wi-Fi и онлайн-расписанием.№%:№%:2019-01-30 16:20:03№%:№%:30453222
Депутат парламента голландского города Ассен Ральф дю Лонг приехал в Новосибирск, чтобы рассказать коллегам и любопытным новосибирцам, как устроена демократия в его стране. Все знают, что Нидерланды — это оплот демократии, а многие даже думают, что с ней там явный перебор. Ральф же уверен, что демократии много не бывает. Откуда в Ассене 10-метровый памятник Ленину, почему провалился проект «умный город» и как там спасают умирающий исторический центр, читайте в нашем материале: https://goo.gl/4jFE8k№%:№%:2019-01-30 15:48:29№%:№%:30453222
Российские переработчики мусора бьют тревогу: поводом стали грядущие поправки в налоговый кодекс, по которым собираются ввести налог на утилизацию товаров и упаковки. Новшество может отразиться на стоимости товаров и поставить крест на все отрасли, уверяют противники нововведения. Почему — узнаем у директора предприятия по сбору и переработке отходов Кирилла Риттермана.№%:№%:2019-01-30 15:05:44№%:№%:30453222
№%:№%:2019-01-30 14:19:17№%:№%:30453222
Какой район Новосибирска назывался Кагановическим, что такое «Расточка» и за что горожане любили всесоюзного старосту Калинина? Об этом в программе Евгения Ларина «Вечерний разговор об истории Новосибирска» рассказала редактор сайта «Библиотека сибирского краеведения» Людмила Кузьменкина. Читайте на сайте полную расшифровку программы: https://goo.gl/ck47Cv№%:№%:2019-01-30 13:18:59№%:№%:30453222
Сегодня в Новосибирске можно посмотреть русские короткометражки и посетить выставку новосибирских художников, а на театральной сцене показывают классику грузинской драматургии. Подробнее: https://goo.gl/HB9ryz№%:№%:2019-01-30 10:45:05№%:№%:30453222
🏑 Новосибирский хоккеист стал чемпионом мира! На юниорском первенстве планеты по хоккею с мячом, которое проходило в Красноярске, в финале Российская команда со счётом 2:1 обыграла шведов. Победный мяч на счету новосибирца Валентина Голубятникова.№%:№%:2019-01-30 10:15:15№%:№%:30453222
В Первомайском районе подвели итоги минувшего года. Главные достижения — открыли самую большую школу в Новосибирске и отремонтировали улицу Первомайскую. Почему опыт Первомайского района ставят другим в пример, рассказали «Новосибирские новости»: https://goo.gl/L6NidZ№%:№%:2019-01-30 09:27:37№%:№%:30453222
Вокзал Новосибирск-Главный отмечает юбилей — памятнику конструктивизма исполнилось 80 лет. Сегодня это целый комплекс, где можно купить билеты, отправить посылку, насладиться музыкой и остановиться в гостинице. Прогулялись по вокзалу и узнали, есть ли там потайной ход к оперному театру.№%:№%:2019-01-30 08:43:09№%:№%:30453222
🌡Столбик термометра в Новосибирской области к выходным упадёт до −40 градусов. Лютые морозы продержатся пять суток.№%:№%:2019-01-30 06:51:24№%:№%:30453222
Доброе утро, город 🌥№%:№%:2019-01-30 02:15:03№%:№%:30453222
Тренировка гимнасток в новом зале в КДЦ имени Станиславского№%:№%:2019-01-29 18:15:36№%:№%:30453222
❄️ Студенты отправились по районам области — в Новосибирске стартовала акция «Снежный десант». За 12 дней ребята посетят 150 деревень и сёл. Будут чистить снег, помогать пожилым людям и ветеранам, устраивать концерты и товарищеские матчи.№%:№%:2019-01-29 16:15:02№%:№%:30453222
В 2020 году в Новосибирске станет на один мусорный полигон меньше — с карты города исчезнет свалка в Пашино. Крупнейший в Новосибирске мусорный полигон, расположенный на Гусинобродском шоссе, также планируют включить в национальную программу «Экология» и рекультивировать. Однако начать ликвидацию свалки смогут только тогда, когда заработают новые мусороперерабатывающие комплексы. Подробнее — в материале: https://goo.gl/JY7W8a№%:№%:2019-01-29 15:35:34№%:№%:30453222
🏗 По итогам 2018 года Новосибирск попал в число российских регионов, где снижается количество проблемных строящихся объектов. В каких ещё регионах стало меньше долгостроев и сколько их сейчас в Новосибирске и в стране? Подробнее: https://goo.gl/UdJsG2№%:№%:2019-01-29 14:15:13№%:№%:30453222
На фасаде гостиницы «Турист» появился образец новой облицовки — фрагмент фасадных панелей из четырёх видов стекла между пятым и седьмым этажами. Владелец гостиницы рассказал, зачем смонтировали этот фрагмент и когда строители приступят к полноценной облицовке здания.№%:№%:2019-01-29 13:15:01№%:№%:30453222
Сегодня в Новосибирске можно посмотреть русские короткометражки и посетить выставку лучших приобретений Художественного музея. Подробнее: https://goo.gl/NuXwuh№%:№%:2019-01-29 10:42:10№%:№%:30453222
Сегодня (29 января) в гостях программы «Вечерний разговор о жизни замечательных новосибирцев» — председатель городской избирательной комиссии Тамара Краткая. Она расскажет о том, почему сразу после школы пошла работать на завод, о мечте стать юристом, и том, как оказалась в избирательной системе.№%:№%:2019-01-29 10:15:02№%:№%:30453222
Что изменилось в Дзержинском районе? В прошлом году открыли школу более чем на 1000 мест. В парке «Берёзовая роща» смонтировали современную сцену. В сентябре открыли образцовую площадку возле дома №25 на улице Доватора. Подробнее — в сюжете «Новосибирских новостей»:№%:№%:2019-01-29 09:18:55№%:№%:30453222
Кастрация кота и стерилизация кошки — процедура, необходимая сразу двум сторонам — хозяевам и животным. Первым она гарантирует спокойную жизнь, вторым — отсутствие проблем со здоровьем. Узнали, сколько это стоит, как подготовить питомца к операции, как ухаживать за ним и чем кормить после: https://goo.gl/4JcJxp№%:№%:2019-01-29 08:11:56№%:№%:30453222
Архитектурный объект необычной формы должен появиться на улице Воинской, 1 в Октябрьском районе в конце 2020 года. Разрешение на строительство спортивно-зрелищного комплекса с трибунами и подземной автостоянкой мэрия Новосибирска выдала ООО «Спорт-Инвест». Узнали подробности проекта:№%:№%:2019-01-29 07:18:53№%:№%:30453222
Отличного дня, Новосибирск! ⛅№%:№%:2019-01-29 02:15:00№%:№%:30453222
Каток в Центральном парке будет закрыт с 29 января до 1 февраля из-за подготовки к строительству фонтана. После проведения работ каток будет работать до конца марта.№%:№%:2019-01-28 15:05:30№%:№%:30453222
Интервью недели: о старте кампании по набору первоклассников в школы Новосибирска№%:№%:2019-01-28 14:15:03№%:№%:30453222
Каких успехов удалось достичь в Ленинском районе в 2018 году? Где и когда появятся новые школы и детсады? Когда будет достроена гостиница «Турист»? Как скоро изменится площадь Маркса? И что делается для расселения ветхого и аварийного жилья? Об этом рассказал глава администрации Ленинского района Олег Клемешов в ток-шоу «Вечерний разговор с Артёмом Роговским»: https://goo.gl/agv2wx№%:№%:2019-01-28 13:15:12№%:№%:30453222
№%:№%:2019-01-28 12:10:15№%:№%:30453222
27 января 1944 года небо над вечерним Ленинградом озарилось огнями — это был салют, который ознаменовал полное освобождение города от гитлеровской блокады. За 900 страшных дней, которые она длилась, Новосибирск на четверть стал Ленинградом. В нашем городе второй дом обрели десятки тысяч эвакуированных.№%:№%:2019-01-28 10:15:03№%:№%:30453222
Минстрой отметил положительную динамику в решении проблем с долгостроями и обманутыми дольщиками в Новосибирске. По итогам 2018 года, в число регионов России, где зафиксировано снижение количества «проблемных объектов», также вошли Ярославская, Свердловская, Челябинская области и республика Татарстан.№%:№%:2019-01-28 09:45:00№%:№%:30453222
К молодёжному Чемпионату мира по хоккею, который пройдёт в Новосибирске в 2023 году, из федерального бюджета планируют выделить около 3 млрд рублей. Деньги пойдут на строительство нового ЛДС. Об этом сообщил министр спорта РФ Павел Колобков: https://goo.gl/L58HCj№%:№%:2019-01-28 09:05:33№%:№%:30453222
Эвакуации в городе продолжаются. Что делать если вам угрожает телефонный террорист?№%:№%:2019-01-28 07:27:36№%:№%:30453222
27 января, в годовщину снятия блокады Ленинграда, в Новосибирске возложили цветы у Вечного огня в Сквере Славы. На Монументе Славы собрались около 200 человек. У стелы, воздвигнутой в честь трудового подвига ленинградцев, эвакуированных в Новосибирск в годы Великой Отечественной войны, также состоялся митинг.№%:№%:2019-01-28 07:02:10№%:№%:30453222
Дороги и транспорт, парки и скверы, социальная сфера — работа над этими и другими городскими приоритетами продолжится. Какие ещё актуальные задачи на 2019 год и несколько следующих лет поставил Анатолий Локоть, слушайте в программе «Мэр отвечает» в прямом эфире на радио «Городская волна» (101,4 FM) в четверг (31 января), после выпуска новостей в 18:00.№%:№%:2019-01-28 05:15:04№%:№%:30453222
Региональный этап состязаний по робототехнике «Робофест» прошёл в НГТУ — за право представлять Новосибирск на всероссийском этапе сразились почти 300 детей. Воспитанники детского сада №411 смоделировали процесс производства валенок. Как работает модель — смотрите в коротком видео.№%:№%:2019-01-28 03:15:07№%:№%:30453222
Продуктивной недели 💪№%:№%:2019-01-28 02:15:08№%:№%:30453222
Вечерняя набережная ✨№%:№%:2019-01-27 18:35:03№%:№%:30453222
Мост через реку Каменка в 1920-е годы.№%:№%:2019-01-27 10:15:19№%:№%:30453222
Доброе утро, Новосибирск!№%:№%:2019-01-27 02:15:02№%:№%:30453222
Региональный спортивный центр фехтования (Тюленина, 27). Здесь проводят тренировки с нуля, а также готовят спортсменов для олимпийского резерва.№%:№%:2019-01-26 18:15:13№%:№%:30453222
Пароходная верфь на месте парка «Городское начало» ⚓№%:№%:2019-01-26 13:15:05№%:№%:30453222
Что делать, если разбился ртутный градусник, и куда сдать старый или разбитый градусник в Новосибирске: https://goo.gl/8xYUnu№%:№%:2019-01-26 05:15:02№%:№%:30453222
Хороших выходных ✨№%:№%:2019-01-26 02:15:02№%:№%:30453222
В ГЦИИ, совместно с Гёте-Институтом, открыли выставку «Германия — страна изобретателей». Революционные изобретения немецких учёных привезли в Новосибирск. Экспонаты для удобства поделили по областям: информатика, оптика, медицина, автомобилестроение. Выставка интерактивная — можно посмотреть, как работают детали изнутри, и послушать историю про изобретение по аудиостанции.№%:№%:2019-01-25 18:15:24№%:№%:30453222
🎻 Афиша выходных: день рождения Владимира Высоцкого, немецкие изобретатели и концерт в темноте. Подробнее: https://goo.gl/VVn2JD№%:№%:2019-01-25 15:07:16№%:№%:30453222
В этом году в Новосибирске расселят 30 аварийных домов. Что делать, чтобы дом признали аварийным, какие документы собрать и куда обратится — смотрите в коротком видео.№%:№%:2019-01-25 13:32:43№%:№%:30453222
С Днём студента! 🎓📚📝💻№%:№%:2019-01-25 10:45:09№%:№%:30453222
