Эпидемия ОРВИ официально объявлена в Алтайском крае.№%:№%:2019-02-01 15:15:52№%:№%:67100441
📚Старые холодильники они решили превратить… в книжные шкафы. Такая идея возникла у молодых барнаульских предпринимателей и одного художника-оформителя. Все ради одной цели – буккроссинга, или обмена книгами.№%:№%:2019-02-01 16:01:29№%:№%:67100441
Мы ищем новые лица! 😍№%:№%:2019-02-01 14:03:15№%:№%:67100441
Поздравляем наших январских именинников! 🎉№%:№%:2019-02-01 13:55:18№%:№%:67100441
Рассказываем, как избежать обморожений и помочь пострадавшему: https://katun24.ru/news/517188/№%:№%:2019-02-01 13:20:10№%:№%:67100441
Барнаулец украл деньги из ящика для пожертвований в церкви.№%:№%:2019-02-01 12:15:12№%:№%:67100441
Ряд спортивных мероприятий перенесли из-за морозов в Алтайском крае.№%:№%:2019-02-01 11:41:34№%:№%:67100441
Жители Алтайского края получили возможность оформить загранпаспорта в дополнительное время.№%:№%:2019-02-01 11:08:05№%:№%:67100441
Федеральные дороги Алтайского края круглосуточно патрулируют из-за морозов.№%:№%:2019-02-01 10:15:20№%:№%:67100441
Всероссийская патриотическая акция «Снежный десант» началась в Барнауле.№%:№%:2019-02-01 09:27:55№%:№%:67100441
#ВадикСпроси 8 лет Катунь Фм№%:№%:2019-02-01 09:00:21№%:№%:67100441
Фото: автомобиль сбил рекламную конструкцию в центре Барнаула.№%:№%:2019-02-01 08:50:04№%:№%:67100441
Рассказываем, какие изменения увидят барнаульцы в январских квитанциях по оплате ЖКУ.№%:№%:2019-02-01 08:10:07№%:№%:67100441
Сегодня, 1 февраля, наши коллеги [club104925846|Катунь-FM Милицейская волна] отмечают день рождения 😃№%:№%:2019-02-01 07:40:14№%:№%:67100441
Ветеранам и инвалидам проиндексируют пособия с 1 февраля.№%:№%:2019-02-01 07:40:05№%:№%:67100441
78 учебных заведений закрыли из-за ОРВИ и гриппа в Алтайском крае.№%:№%:2019-02-01 07:00:33№%:№%:67100441
Больше на одного 😻№%:№%:2019-02-01 06:53:31№%:№%:67100441
Светофор отключат на перекрёстке в центре Барнаула.№%:№%:2019-02-01 06:26:34№%:№%:67100441
Оплату газа по счетчикам введут в России. №%:№%:2019-02-01 05:44:19№%:№%:67100441
Движение транспорта перекрыли из-за коммунальной аварии в Барнауле.№%:№%:2019-02-01 05:05:49№%:№%:67100441
Сегодня утром в Барнауле произошла коммунальная авария. На месте работают сотрудники водоканала.№%:№%:2019-02-01 05:04:01№%:№%:67100441
Изморозь и гололедица: о погоде в Алтайском крае 1 февраля.№%:№%:2019-02-01 04:48:53№%:№%:67100441
Скорпион сможет найти выход эмоциям и словам, а Стрелец будет самонадеян и упрям.№%:№%:2019-02-01 04:47:46№%:№%:67100441
Доброе утро, Алтайский край! 🐼№%:№%:2019-02-01 03:00:21№%:№%:67100441
Курение за рулем могут запретить в России.№%:№%:2019-01-31 16:30:18№%:№%:67100441
Махинации под видом фондовых бирж становятся все популярнее среди мошенников 💰 №%:№%:2019-01-31 15:34:31№%:№%:67100441
Российские заемщики получат вместе с кредитной историей персональные кредитные рейтинги.№%:№%:2019-01-31 15:11:52№%:№%:67100441
Охота на косулю в Алтайском крае обошлась мужчине в 200 тысяч рублей.№%:№%:2019-01-31 14:35:51№%:№%:67100441
31 января в 16:40 по местному времени в Алтайском крае в Бийско-Барнаульской впадине произошло землетрясение.№%:№%:2019-01-31 13:40:12№%:№%:67100441
Новые штрафы для рыболовов появятся в Алтайском крае.№%:№%:2019-01-31 13:03:47№%:№%:67100441
Бывший следователь получил большой срок за взятку и подделку доказательств в Барнауле.№%:№%:2019-01-31 12:41:49№%:№%:67100441
Грузовик насмерть сбил пешехода ночью в Алтайском крае.№%:№%:2019-01-31 12:20:07№%:№%:67100441
#Вадикспроси №%:№%:2019-01-31 11:15:45№%:№%:67100441
Алтайские хоккеисты стали победителями Матча звёзд.№%:№%:2019-01-31 10:55:05№%:№%:67100441
Фото: алтайские дайверы погрузились в Телецкое озеро в январе.№%:№%:2019-01-31 10:15:09№%:№%:67100441
Жительница Барнаула обманула людей, создавая фейковые интернет-магазины.№%:№%:2019-01-31 09:40:13№%:№%:67100441
Жительницу Барнаула осудят за оскорбление сотрудника полиции в инстаграме.№%:№%:2019-01-31 09:01:35№%:№%:67100441
Прогноз ЧС на 31 января в Алтайском крае.№%:№%:2019-01-31 08:31:55№%:№%:67100441
Гипермаркет оштрафуют за недостоверную рекламу о 40% скидках.№%:№%:2019-01-31 07:10:04№%:№%:67100441
Появилось видео момента ДТП, в котором сбили пешехода в Барнауле.№%:№%:2019-01-31 06:35:00№%:№%:67100441
Светофоры отключат на несколько часов в Барнауле.№%:№%:2019-01-31 06:19:06№%:№%:67100441
Житель Барнаула купил хлеб с запечённым тараканом.№%:№%:2019-01-31 05:39:19№%:№%:67100441
Небольшой снег и гололёд: о погоде в Алтайском крае 31 января.№%:№%:2019-01-31 05:04:39№%:№%:67100441
Альтруизм Овна будет вознагражден, а Водолею следует прислушиваться к голосу своего сердца. Гороскоп на 31 января.№%:№%:2019-01-31 05:03:19№%:№%:67100441
Доброе утро, Алтайский край!❄️№%:№%:2019-01-31 03:00:27№%:№%:67100441
😃Скорее просыпайся и включай «УТРЕННИЙ КАНАЛ»! №%:№%:2019-01-31 02:00:00№%:№%:67100441
Братцы, благодать-то какая! Лепота 🔥 №%:№%:2019-01-30 17:15:01№%:№%:67100441
Нагорную часть Барнаула подключили к теплоснабжению ТЭЦ-3.№%:№%:2019-01-30 16:29:16№%:№%:67100441
