ЖИТЕЛЬ БЛАГОВЕЩЕНСКА ОБНАРУЖИЛ В ХЛЕБЕ КУСОК ТРЯПКИ №%:№%:2019-02-01 18:47:17№%:№%:168019671
В БЛАГОВЕЩЕНСКЕ ПРИ СТРАННЫХ ОБСТОЯТЕЛЬСТВАХ НАЙДЕН ТРУП МУЖЧИНЫ №%:№%:2019-02-01 18:44:47№%:№%:168019671
Ребята, где можно купить вот такого типа комнатные фонтанчики? Раньше их было много у китайцев, а сейчас даже на алиэкспрессе нет...№%:№%:2019-02-01 16:31:23№%:№%:168019671
В АМУРСКОЙ ОБЛАСТИ ПОСТРОЯТ ПЕРВУЮ В РОССИИ ГИБРИДНУЮ СОЛНЕЧНУЮ ЭЛЕКТРОСТАНЦИЮ №%:№%:2019-01-31 01:39:00№%:№%:168019671
📢Благовещенск, проснись! 📢 №%:№%:2019-01-30 13:00:12№%:№%:168019671
НА ТАЙВАНЕ ДВОЕ БЛАГОВЕЩЕНЦЕВ ПЫТАЛИСЬ ОБОКРАСТЬ НОВЫЙ СУПЕРМАРКЕТ, НО ИХ ЗАДЕРЖАЛА ОХРАНА №%:№%:2019-01-30 11:24:47№%:№%:168019671
ВОЕННЫМ ИНЖЕНЕРАМ УДАЛОСЬ ПРОБИТЬ ПРОТОКУ В ЗАТОРЕ НА РЕКЕ БУРЕЯ №%:№%:2019-01-30 11:18:30№%:№%:168019671
Разыгрывается смартфон Honor 7A №%:№%:2019-01-29 11:10:39№%:№%:168019671
№%:№%:2019-01-29 04:00:00№%:№%:168019671
№%:№%:2019-01-29 01:40:23№%:№%:168019671
№%:№%:2019-01-28 19:13:56№%:№%:168019671
В БЕЛОГОРСКЕ ПРОВАЛИЛСЯ АСФАЛЬТ НА ТОМ ЖЕ МЕСТЕ, ГДЕ И ГОД НАЗАД №%:№%:2019-01-28 14:51:08№%:№%:168019671
В СВОБОДНОМ ТЯЖЕЛАЯ ТЕХНИКА ПОВРЕДИЛА ТЕПЛОТРАССУ ВО ВРЕМЯ РАБОТ С КАНАЛИЗАЦИЕЙ №%:№%:2019-01-28 10:54:18№%:№%:168019671
Бодро удирающая косулька. Серышевский район. Кстати, зима для амурской косули складывается очень удачно - снега мало, да еще и охота запрещена. Косульки даже успели немножко расслабиться и ведут себя более спокойно, чем обычно.№%:№%:2019-01-28 10:29:02№%:№%:168019671
ЖИТЕЛИ БЛАГОВЕЩЕНСКА: «ПАРЕНЬ И ДЕВУШКА СНИМАЮТ КВАРТИРЫ НА СУТКИ И СДАЮТ ДРУГИМ ЛЮДЯМ НА ДЛИТЕЛЬНЫЙ СРОК» №%:№%:2019-01-28 10:16:46№%:№%:168019671
В ТЫНДЕ НЕИЗВЕСТНЫЕ ПОДОЖГЛИ НОВЫЙ ЛИФТ В ЖИЛОМ ДОМЕ №%:№%:2019-01-28 10:15:05№%:№%:168019671
№%:№%:2019-01-28 00:47:43№%:№%:168019671
Авария на остановке Свободная (Калинина,110)№%:№%:2019-01-28 00:47:41№%:№%:168019671
В БЛАГОВЕЩЕНСКЕ НА КАЛИНИНА — ГОРЬКОГО СБИЛИ МУЖЧИНУ-ПЕШЕХОДА №%:№%:2019-01-27 17:00:02№%:№%:168019671
Фото: Степанов Слава№%:№%:2019-01-27 13:43:38№%:№%:168019671
Бэйдер нокаутировал Емельяненко на первой минуте чемпионского боя№%:№%:2019-01-27 10:21:14№%:№%:168019671
Какой мессенджер вы используете?№%:№%:2019-01-26 22:08:39№%:№%:168019671
«ПРАНКЕРЫ ИЛИ МОРЖИ?»: ДВОЕ ПАРНЕЙ СКАТИЛИСЬ С БЛАГОВЕЩЕНСКОЙ ГОРКИ В ТРУСАХ №%:№%:2019-01-26 20:28:55№%:№%:168019671
Там, где Зея впадает в Амур№%:№%:2019-01-26 20:19:16№%:№%:168019671
В СВОБОДНЕНСКОМ МАГАЗИНЕ ЗАМЕТИЛИ ГОВЯЖЬЮ ПЕЧЕНЬ, СРОК ХРАНЕНИЯ КОТОРОЙ — 80 ЛЕТ №%:№%:2019-01-26 15:20:18№%:№%:168019671
Во Владивостоке сейчас жарко, несмотря на зиму. Здесь начался полуфинал конкурса [club154124881|«Лидеры России»], на который собрались 311 управленцев из регионов Дальневосточного федерального округа, в том числе 38 из Амурской области, чтобы в напряженной конкурентной борьбе завоевать себе право на выход в финал. №%:№%:2019-01-26 08:00:02№%:№%:168019671
№%:№%:2019-01-25 14:34:23№%:№%:168019671
Небольшое пояснение насчёт бомбы: история очевидно - фейк. №%:№%:2019-01-25 09:10:43№%:№%:168019671
В БЛАГОВЕЩЕНСКЕ МАССОВО ЭВАКУИРУЮТ ЛЮДЕЙ ИЗ ШКОЛ, УНИВЕРСИТЕТОВ И ТОРГОВЫХ ЦЕНТРОВ №%:№%:2019-01-25 09:06:41№%:№%:168019671
№%:№%:2019-01-25 08:00:08№%:№%:168019671
Однажды москвич, посетивший Благовещенск спросил:№%:№%:2019-01-25 06:00:03№%:№%:168019671
Сегодня в Благовещенске скорость ветра составит 7 – 12 метров в секунду. №%:№%:2019-01-25 02:00:01№%:№%:168019671
Утренний Благовещенск№%:№%:2019-01-25 00:29:59№%:№%:168019671
Когда не дождался строительства моста и поехал в Хэйхэ)№%:№%:2019-01-24 23:59:53№%:№%:168019671
№%:№%:2019-01-24 23:51:30№%:№%:168019671
Фото: Степанов Слава№%:№%:2019-01-24 23:05:00№%:№%:168019671
№%:№%:2019-01-24 13:42:09№%:№%:168019671
ВЛАДЕЛЕЦ ПРИЮТА «ДРУЖОК» ВЯЧЕСЛАВ ЗОЛОТАРЕВ, КОТОРЫЙ ЗАМОРИЛ ГОЛОДОМ 47 ЖИВОТНЫХ И УЕХАЛ ОТДЫХАТЬ ЗАДЕРЖАН НА ГРАНИЦЕ№%:№%:2019-01-24 11:10:13№%:№%:168019671
В МИКРОРАЙОНЕ БЛАГОВЕЩЕНСКА ЦЕЛЫЙ КВАРТАЛ ЗАЛИЛО ХОЛОДНОЙ ВОДОЙ №%:№%:2019-01-24 10:48:30№%:№%:168019671
