Открыт парк на Фиоленте 😍№%:№%:2019-02-01 21:13:00№%:№%:55342106
Это что-то новенькое )) кто знает для чего?№%:№%:2019-02-02 09:14:00№%:№%:55342106
№%:№%:2019-02-02 08:15:31№%:№%:55342106
Подрядчик реконструкции парка Победы планирует завершить работы в срок | SEVKOR.RU№%:№%:2019-02-01 21:19:59№%:№%:55342106
Севастопольский участок трассы "Таврида"№%:№%:2019-02-01 20:13:00№%:№%:55342106
В Крыму определили единые тарифы на вывоз мусора. Цены по районам№%:№%:2019-02-01 19:00:12№%:№%:55342106
Сегодня, возле СевГУ было собрание людей и стояли троллейбусы, кто знает в чем дело? Троллейбусы буду ходить к главному корпусу?😳 😁№%:№%:2019-02-01 17:21:00№%:№%:55342106
В Севастополе упавший на Георгиевской скале крест восстановят до конца года | SEVKOR.RU№%:№%:2019-02-01 16:52:51№%:№%:55342106
№%:№%:2019-02-01 16:13:00№%:№%:55342106
На российском лекарственном рынке разрастается серьезный скандал из-за конкуренции№%:№%:2019-02-01 14:38:08№%:№%:55342106
Добрый день вам снова) 🙌🏼вчера были на Фиоленте, глянуть как там обстановка с парком, рядом с Георгиевским монастырем, не пустили на территорию, ещё шли ремонтные работы, сегодня уже объявили об открытии официально) Вот так вот внезапно ☝🏼делюсь новостью и свежими фото😃 теперь уже я думаю можно спокойно туда ехать за более подробными видами 👍🏼место шикарное, как по мне💫 Надеюсь, ваши прогулки будут уже более благоприятными, а не как у нас - в холостую 😅№%:№%:2019-02-01 14:04:40№%:№%:55342106
улица Коммунистическая №%:№%:2019-02-01 12:41:20№%:№%:55342106
В Севастополе случилось «лобовое» со стеной. Фото с места инцидента№%:№%:2019-02-01 12:00:14№%:№%:55342106
📢 В Севастополе начали выдавать персонифицированные карты ЕГКС№%:№%:2019-02-01 11:13:00№%:№%:55342106
В Севастополе подростка подозревают в убийстве матери и бабушки№%:№%:2019-02-01 10:49:43№%:№%:55342106
В Кировском районе Крыма поймали еще одного любителя бюджетных денег№%:№%:2019-02-01 10:00:05№%:№%:55342106
📢 План аэропорта «Бельбек» разработает фирма из Санкт-Петербурга№%:№%:2019-02-01 09:11:00№%:№%:55342106
Раннее утро в Севастополе №%:№%:2019-02-01 08:09:00№%:№%:55342106
Севастополь вошел в число лучших регионов по капремонту домов | SEVKOR.RU№%:№%:2019-01-31 22:58:08№%:№%:55342106
Соц. опрос)))Приживётся ли модная новинка в Севастополе?)))№%:№%:2019-01-31 22:35:00№%:№%:55342106
На спинках сидений 109 маршрута развешана схема проезда с ошибками в названиях улиц и остановок. №%:№%:2019-01-31 22:21:00№%:№%:55342106
📢 В Севастополе появился грузовой эвакуатор№%:№%:2019-01-31 21:32:00№%:№%:55342106
