Ростовской области сняли с мели сухогруз Lev Soldatov№%:№%:2019-02-02 10:01:39№%:№%:41216154
Жителя Батайска, ранившего ножом судебного пристава и полицейского, признали психически нездоровым№%:№%:2019-02-01 19:02:11№%:№%:41216154
В Ростове стартует городская патриотическая Акция "Фронтовое письмо нашим Героям"№%:№%:2019-02-01 18:03:10№%:№%:41216154
С 1 февраля увеличены  ежемесячные денежные выплаты федеральным льготникам, в том числе и из г.Шахты№%:№%:2019-02-01 15:04:52№%:№%:41216154
«Содом и Гоморра» в тубдиспансере привели к убийству мужчины в Ростовской области№%:№%:2019-02-01 12:02:19№%:№%:41216154
Массовые эвакуации в Ростове прекратились№%:№%:2019-02-01 09:01:49№%:№%:41216154
Ростовским предпринимателям напоминают о необходимости использования онлайн кассы№%:№%:2019-01-31 18:00:49№%:№%:41216154
Ростовский адвокат подозревается в убийстве экс-жены: забил молотком в машине№%:№%:2019-01-31 17:02:21№%:№%:41216154
Информация о минировании пока не подтвердилась: проверка школ и больниц продолжается№%:№%:2019-01-31 15:03:05№%:№%:41216154
В Ростовской области вынесен приговор участникам организованной группы, обвиняемых в контрабанде ГСМ№%:№%:2019-01-31 12:01:39№%:№%:41216154
В г. Шахты отменили все занятия в школах в четверг, 31 января№%:№%:2019-01-31 09:01:25№%:№%:41216154
Во всех школах города Шахты отменили занятия из-за угроз о минировании№%:№%:2019-01-30 16:01:17№%:№%:41216154
За что задержали сенатора Арашукова: убийства, организация банды и хищение 30 миллиардов№%:№%:2019-01-30 15:02:33№%:№%:41216154
О привлечении АО «АЭРО РЕГИОН» к административной ответственности по ст. 15.12 ч.2 КоАП РФ№%:№%:2019-01-30 13:01:52№%:№%:41216154
Студенты и руководители РГУПС приняли участие в презентации Общественного движения «Дороги славы-наша история»№%:№%:2019-01-30 11:01:42№%:№%:41216154
В Министерстве ЖКХ Ростовской области прошли обыски с выемкой документов№%:№%:2019-01-30 09:01:11№%:№%:41216154
Преступник из колонии нанял ростовчанина, чтобы убить свидетеля№%:№%:2019-01-29 15:01:49№%:№%:41216154
В донской столице мужчина разбил голову сыну трехлитровым баллоном№%:№%:2019-01-29 14:02:53№%:№%:41216154
В Ростове мужчина подозревается в убийстве своей бывшей жены№%:№%:2019-01-29 12:02:43№%:№%:41216154
В Мясниковском районе горел частный дом, пострадала женщина№%:№%:2019-01-29 10:01:09№%:№%:41216154
В Шахтах на Хабарова эвакуировали людей из-за угрозы взрыва№%:№%:2019-01-29 02:00:09№%:№%:41216154
В Ростове двое подростков отравились в машине угарным газом№%:№%:2019-01-28 14:00:46№%:№%:41216154
В Ростове дорожные камеры стали работать на стоп-линию№%:№%:2019-01-28 13:02:46№%:№%:41216154
"Смотрители спохватились лишь спустя два часа после ограбления": Очевидцы рассказали подробности кражи картины Куинджи из Третьяковки№%:№%:2019-01-28 09:01:38№%:№%:41216154
В Ростовской области полицейские обнаружили подпольный цех по изготовлению «незамерзайки»№%:№%:2019-01-27 00:00:52№%:№%:41216154
Умер ректор ЮРГПУ Владимир Передерий№%:№%:2019-01-26 21:01:17№%:№%:41216154
