На Бурятию надвигаются 50-градусные морозы№%:№%:2019-02-02 09:56:18№%:№%:107493817
В Бурятии выросли зарплаты, но упали доходы жителей№%:№%:2019-02-02 09:54:06№%:№%:107493817
Бурятская семья снялась для Первого канала№%:№%:2019-02-02 07:46:11№%:№%:107493817
На восстановление водоснабжения в Улан-Удэ выделено 25 млн рублей№%:№%:2019-02-02 06:55:00№%:№%:107493817
В Бурятии пожарные обследовали дацаны и места проведения костров Дугжууба№%:№%:2019-02-02 06:38:37№%:№%:107493817
В Центральной России по требованию жителей снизили цены на топливо№%:№%:2019-02-02 06:20:00№%:№%:107493817
В Бурятии будет создана ТОР№%:№%:2019-02-02 06:05:00№%:№%:107493817
В Улан-Удэ маленьким спортсменам приходится ютиться в тесном помещении лыжной базы№%:№%:2019-02-02 05:45:00№%:№%:107493817
Огромные налоги в бюджет и «черная энергетика» – за и против игорной зоны на Байкале№%:№%:2019-02-02 05:25:00№%:№%:107493817
Житель Бурятии головой разбил зеркало в отделе полиции. Видео№%:№%:2019-02-02 05:10:00№%:№%:107493817
Появились новые видео с тигром Ермаком в Улан-Удэ№%:№%:2019-02-02 04:50:00№%:№%:107493817
Чем займутся в Бурятии Святой Василис и Корбобо?№%:№%:2019-02-02 04:28:07№%:№%:107493817
Когда в выходной кто то просыпается раньше тебя и не дает спать 😉№%:№%:2019-02-02 03:45:00№%:№%:107493817
Доброе утро любимый город! 💋№%:№%:2019-02-02 03:10:00№%:№%:107493817
ЗУРХАЙ на 2 февраля (28‑й лунный день)№%:№%:2019-02-02 02:45:00№%:№%:107493817
Спокойной ночи! Пусть ночь будет наполнена уютом и покоем, а утро принесёт светлую радость. 🌛№%:№%:2019-02-01 17:00:01№%:№%:107493817
Температура ночью в Улан-Удэ опустится до -30№%:№%:2019-02-01 16:45:00№%:№%:107493817
Не знаете, как ответить на вопросы детей о работе внутренних органов человека? А может, ваш ребёнок мечтает стать врачом, и вы уже сбились со счета от его "почему"? Тогда советуем посетить выставку [club176463938|"ВНУТРИ ЧЕЛОВЕКА"] в ГАУК РБ «Национальный музей Республики Бурятия» на Куйбышева, 29, тел. 8 (301) 221-43-93. №%:№%:2019-02-01 15:30:00№%:№%:107493817
Что интересного и необычного посетить в городе в этом месяце? №%:№%:2019-02-01 14:30:00№%:№%:107493817
В Улан-Удэ из-за коммунальной аварии введен режим ЧС№%:№%:2019-02-01 13:40:00№%:№%:107493817
В Улан-Удэ приедет Алла Михеева из «Вечернего Урганта»№%:№%:2019-02-01 13:20:00№%:№%:107493817
Сестры-крепыши ждут своих мам-пап!  Если вы ищите надежного охранника для дома, то они те кого вы искали! Осталось две сестры Белка и Стрелка. Белка идеальная охранница и компаньон - сообразительная, скромная, проявляет охранные качества, Стрелка верная, более привязанее к людям.  Возраст собачек около 7 мес, они еще будут расти, здоровы, СТЕРИЛИЗОВАНЫ, по росту выше колена в холке. Звоните и приезжайте знакомиться, без собаки Вы от нас не уедете! №%:№%:2019-02-01 13:03:15№%:№%:107493817
В России отменят плату за вывоз "сухого" мусора№%:№%:2019-02-01 12:45:00№%:№%:107493817
В бурятском отделении Сбербанка ожидаются кадровые изменения№%:№%:2019-02-01 12:30:03№%:№%:107493817
В Бурятии пьяный мужчина кусал сотрудников ДПС. Видео№%:№%:2019-02-01 12:29:14№%:№%:107493817
«Может, обратимся... к дядюшке Баиру?»№%:№%:2019-02-01 12:00:16№%:№%:107493817
Масштабы коммунальной аварии в Улан-Удэ растут с каждым часом№%:№%:2019-02-01 11:45:00№%:№%:107493817
Жителей Бурятии рассмешила «покупка» снега к Сагаалгану№%:№%:2019-02-01 11:30:11№%:№%:107493817
Детский омбудсмен Бурятии поделилась редкими фото из молодости№%:№%:2019-02-01 10:40:00№%:№%:107493817
Ламы Бурятии озвучили астрологический прогноз на 2019 год№%:№%:2019-02-01 10:21:52№%:№%:107493817
В Улан-Удэ более 250 многоквартирных домов осталось без горячей воды№%:№%:2019-02-01 10:20:09№%:№%:107493817
В Улан-Удэ произошла крупная коммунальная авария№%:№%:2019-02-01 08:46:07№%:№%:107493817
Бурятские лучники с ПОДА завоевали три медали Кубка России№%:№%:2019-02-01 07:10:00№%:№%:107493817
В Улан-Удэ на Сагаалган разыграют бытовую технику№%:№%:2019-02-01 06:50:00№%:№%:107493817
Теннисистка Дари Саханова дебютирует на турнире в Америке№%:№%:2019-02-01 06:32:44№%:№%:107493817
Юрий Трутнев посетил в Бурятии нефритовое производство№%:№%:2019-02-01 06:27:42№%:№%:107493817
Завтра в Бурятии резко похолодает№%:№%:2019-02-01 05:53:39№%:№%:107493817
«Немного расстроилась»: детям из Бурятии не удалось выиграть миллион№%:№%:2019-02-01 05:35:12№%:№%:107493817
Автомобили мэрии Улан-Удэ обслужили сотни вызовов врачей на дом№%:№%:2019-02-01 04:35:00№%:№%:107493817
В школах Улан-Удэ продлили карантин№%:№%:2019-02-01 04:20:00№%:№%:107493817
В Бурятии учителя устали жить в нищете и прислуживать депутатам№%:№%:2019-02-01 04:00:02№%:№%:107493817
С ДОБРЫМ УТРОМ ДРУЗЬЯ! №%:№%:2019-02-01 03:10:00№%:№%:107493817
ЗУРХАЙ на 1 февраля (27‑й лунный день) №%:№%:2019-02-01 02:45:00№%:№%:107493817
Спокойной ночи, друзья! 😴№%:№%:2019-01-31 17:00:02№%:№%:107493817
1 февраля в Улан-Удэ утром и днем небольшой снег №%:№%:2019-01-31 16:37:00№%:№%:107493817
Свыше 5 тысяч улан-удэнцев за январь болели ОРВИ и гриппом №%:№%:2019-01-31 16:21:00№%:№%:107493817
Улан-удэнка шесть лет живет в квартире без отопления №%:№%:2019-01-31 16:05:10№%:№%:107493817
Чиновники правительства Бурятии подставили Алексея Цыденова №%:№%:2019-01-31 15:48:00№%:№%:107493817
В развитие Улан-Удэ планируют вложить более 11 миллиардов №%:№%:2019-01-31 15:30:03№%:№%:107493817
Улан-удэнский силач выпустил видео, где бьёт очередные рекорды №%:№%:2019-01-31 15:15:01№%:№%:107493817
Обычное явление: «Максим» отреагировал на забастовку таксистов в Улан-Удэ №%:№%:2019-01-31 14:58:12№%:№%:107493817
Улан-удэнским школьникам не станут продлевать внеплановые каникулы№%:№%:2019-01-31 14:57:23№%:№%:107493817
К главе Бурятии приставят Росгвардию№%:№%:2019-01-31 12:26:35№%:№%:107493817
«Нам нужен руководитель без лишних политических амбиций»: Михаил Гергенов рассказал, каким должен быть мэр Улан-Удэ№%:№%:2019-01-31 11:42:00№%:№%:107493817
Мошенники добрались до клиентов Сбербанка№%:№%:2019-01-31 11:25:00№%:№%:107493817
Ученые Бурятии разработали в Японии инновации для сельского хозяйства №%:№%:2019-01-31 11:08:02№%:№%:107493817
В Бурятии к Сагаалгану ламы освятили белую пищу№%:№%:2019-01-31 10:51:00№%:№%:107493817
