№%:№%:2019-01-31 09:05:05№%:№%:104083518
№%:№%:2019-02-01 16:30:01№%:№%:104083518
Магнитики города№%:№%:2019-02-01 15:41:07№%:№%:104083518
Сегодня комиссия в Батайске из всяких юристов, советников и полицейских провела рейд по дорогам нашего города. И представляете, выявили что дороги в очень ужасном состоянии. №%:№%:2019-02-01 15:00:13№%:№%:104083518
Вот и дождались: на Каменке идёт ликвидация кладбища игрушек!№%:№%:2019-02-01 14:52:52№%:№%:104083518
№%:№%:2019-02-01 14:30:03№%:№%:104083518
ДТП на пересечении Зорге/Стачки.№%:№%:2019-02-01 14:24:31№%:№%:104083518
Подписчик: «Болгарстрой на связи! Объявление у нас в подъезде на Стрелковой. Видимо автора сильно укурки достали...»№%:№%:2019-02-01 14:08:25№%:№%:104083518
На Левенцовка завёлся вредитель авто. №%:№%:2019-02-01 14:02:25№%:№%:104083518
Вели́к Ростов-на-Дону...№%:№%:2019-02-01 13:35:11№%:№%:104083518
😁№%:№%:2019-02-01 13:05:17№%:№%:104083518
Гаражный стритарт№%:№%:2019-02-01 12:35:07№%:№%:104083518
Левый, левый берег Дона№%:№%:2019-02-01 12:07:29№%:№%:104083518
#юмор@etorostovnadonu№%:№%:2019-02-01 11:55:00№%:№%:104083518
😄№%:№%:2019-02-01 11:45:13№%:№%:104083518
Необычная крышка люка в парке Революции№%:№%:2019-02-01 11:30:14№%:№%:104083518
На Лелюшенко (Темерник) группа цыганских лиц возле гипермаркета Магнит что-то перебрасывала через забор. Подписчик предположил, что это была кража. №%:№%:2019-02-01 11:29:06№%:№%:104083518
Не пора-ли уже штрафовать! Взяли моду! Маршрут № 18 периодически при следовании в направлении пл.К.Маркса - мкр.Суворовский в вечернее время суток на остановке Королёва 4 в районе 20.00 пересаживают оставшихся в салоне пассажиров. следующих от Королёва до Суворовского (10-15 человек) в другой, впереди или сзади идущий автобус. "Срубив" деньги до Королёва 4 и, оставшись почти полу-пустыми, водители некоторых автобусов не желают дальше ехать по маршруту (не выгодно) и пересаживают, заранее договорившись и поджидая друг-друга на остановках по 3-5 минут, оставшихся пассажиров. только на моей памяти это уже 7-й случай. Два из них произошло с автобусом № М315РУ. Последний - вчера. Почему люди, после работы, после "штурма" автобуса на остановках, должны ещё прыгать, бежать галопом в другой автобус?! Существует-ли у них Договор о предоставлении услуг по перевозке пассажиров и не нарушают-ли они его?...А жителям Суворовского предлагаю в таких случаях тому водителю, куда Вас пересадили, ЗА ПРОЕЗД НЕ ПЛАТИТЬ! И проблема уйдёт...№%:№%:2019-02-01 11:10:00№%:№%:104083518
№%:№%:2019-02-01 10:10:01№%:№%:104083518
«Я не буду платить за этот развод!». №%:№%:2019-02-01 10:07:09№%:№%:104083518
Привет от Кометы - обитателя Ростовского зоопарка ✌№%:№%:2019-02-01 10:03:49№%:№%:104083518
Дo вeсны остaлось 28 дней№%:№%:2019-02-01 08:54:00№%:№%:104083518
Записка на одном из банкоматов№%:№%:2019-02-01 08:43:22№%:№%:104083518
На Коммунистическом,25 падают кирпичи с крыши. №%:№%:2019-02-01 08:38:04№%:№%:104083518
№%:№%:2019-02-01 08:22:04№%:№%:104083518
«Когда я покупал себе этого котенка, продавец положил в комплект лоток, библию, осиновый кол и вискас с чесноком. Интересно, зачем?»№%:№%:2019-02-01 05:40:18№%:№%:104083518
Нахичевань№%:№%:2019-02-01 05:10:13№%:№%:104083518
Изысканная лепнина в одном магазинов на Семашко№%:№%:2019-02-01 01:42:52№%:№%:104083518
Ответ в комментарии 👇🏻№%:№%:2019-02-01 01:05:14№%:№%:104083518
Дары Дона№%:№%:2019-02-01 00:53:39№%:№%:104083518
Троицкий собор в ночи, СЖМ№%:№%:2019-02-01 00:46:53№%:№%:104083518
№%:№%:2019-01-31 23:52:00№%:№%:104083518
Сегодня днём на парковке у детской областной больницы г Ростова, в промежутке между 10.20-11.00 дня, в 20-минутное отсутствие водителя автомобиля ( находились в больнице,как раз во время экстренной эвакуации), неизвестный выбил окно и украл..как вы думаете что?... Школьный рюкзак, в котором помимо дорогих лекарств были важные вещи ребенка... Вещи..не деньги, не телефон, не планшет... Если вдруг кто видел происшествие, просьба откликнуться! Ну а неизвестного похитителя прошу вернуть вещи... Пожалуйста!...№%:№%:2019-01-31 23:50:24№%:№%:104083518
Город Зверево, Ростовская область, вот так у нас посыпают дороги в 21 веке...№%:№%:2019-01-31 23:23:53№%:№%:104083518
Сильное ДТП в Батайске, на пересечении Куйбышева/Садовой, несколько минут назад.№%:№%:2019-01-31 23:19:55№%:№%:104083518
Пишет Кристина Богданова: «Вот так вот люди отдыхают! Вроде взрослые, а за счёт заплатить не в силах. Заказали шашлыки, водку, закуски на 6000руб. Один от возлияний заснул. Второй под видом того, что доведёт заснувшего до машины, ушёл и не вернулся. №%:№%:2019-01-31 23:06:22№%:№%:104083518
Когда собака гуляет со своим хозяином, всем нам это кажется обычным делом, а в отношении кошек с таким встречаюсь впервые. Моей Лизке уже седьмой год и чувствует себя хозяйкой всего дома. Раньше на улицу выходила одна и всё решалось без проблем, но когда в соседнем подъезде появился котёнок Мурзик, начался процесс воспитательной работы: Здесь не ходи, здесь не сиди... Ласки хочется каждому домашнему животному и когда уже подросший кот стал подходить ко мне, в дело пошли лапы с когтями. Мой хозяин, так решила кошка и чужим нечего с ним делать. Теперь, когда я выхожу с ней на улицу делать туалет, увидев соседа для порядка мяукает, что- бы он её услышал и уже потом обходим весь двор. Кот стал взрослым, но порядки установленые старшими старается соблюдать. Такую Лизку- в каждый дом!№%:№%:2019-01-31 22:39:55№%:№%:104083518
Кто потерял пса из охотников я знаю вы приезжали и ждали его пёс "ХАСКИ" пишите в комменты чей!!! Он сидит скучает ждёт хозяев!!!№%:№%:2019-01-31 22:31:11№%:№%:104083518
Подписчица возмущена: «Просто идеальная поза работника Ашана в горизонте👍»№%:№%:2019-01-31 21:39:07№%:№%:104083518
Подписчица: «Будьте осторожны если поедете на этом автобусе # 99!!!! №%:№%:2019-01-31 21:26:56№%:№%:104083518
«Из твиттера филолога: №%:№%:2019-01-31 21:00:18№%:№%:104083518
Совсем загнили там у себя.№%:№%:2019-01-31 20:59:46№%:№%:104083518
Александровка№%:№%:2019-01-31 20:25:28№%:№%:104083518
№%:№%:2019-01-31 19:46:56№%:№%:104083518
Отражение заката. И бабки.№%:№%:2019-01-31 19:10:18№%:№%:104083518
Краснодарец не смог пройти мимо приоры, которую беспечный владелец мало того, что не запер, так еще и ключ зажигания оставил в замке. Гореугонщик недолго покатался по городу, а теперь коротает время в камере, за кражу авто ему грозит до шести лет лишения свободы№%:№%:2019-01-31 18:50:42№%:№%:104083518
Прогулка по Ростову№%:№%:2019-01-31 17:01:30№%:№%:104083518
Добрый день. Выложите пожалуйста.№%:№%:2019-01-31 16:36:27№%:№%:104083518
Строительство ЗЖМ. Коммунистический/Зорге/Стачки №%:№%:2019-01-31 16:25:05№%:№%:104083518
Ростов сегодня утром№%:№%:2019-01-31 15:44:27№%:№%:104083518
Подписчица возмущается: «Во время эвакуации школы №115 в Левенцовке детей выводили прямо на улицу на мороз без верхней одежды . Хорошо хоть водой не поливали.» А что вы думаете по этому поводу?№%:№%:2019-01-31 14:52:44№%:№%:104083518
🔥 Пожар в частном секторе возле Извилистой, 7№%:№%:2019-01-31 14:44:28№%:№%:104083518
На Большой Садовой замечен блуждающий отряд эвакуаторов. №%:№%:2019-01-31 14:37:18№%:№%:104083518
Солнечное гало в Ростовской области на трассе Ростов-Волгоград. №%:№%:2019-01-31 14:12:11№%:№%:104083518
Доброты пост! №%:№%:2019-01-31 14:06:09№%:№%:104083518
Ростовчанин пишет: «ДПСники спровоцировали аварию уже не в первый раз. Операция нюхач закончилась дтп, копы дёргали всех под ряд из разных рядов. Вот результат. Вятская.»№%:№%:2019-01-31 14:02:07№%:№%:104083518
⚠Тройное ДТП на Кировском/Суворова№%:№%:2019-01-31 13:56:44№%:№%:104083518
⚠ Те самые письма, с таким же текстом, которое "кнопочные террористы" анонимно разослали по десяткам школ и организаций Ростова. №%:№%:2019-01-31 13:39:49№%:№%:104083518
Topжecтвeннo oткpыт нoвый фoнтaн нa Казахской высотой в три этажа 😊№%:№%:2019-01-31 13:35:17№%:№%:104083518
"Действия при эвакуации" №%:№%:2019-01-31 13:17:52№%:№%:104083518
В Ростове из-за анонимных сообщений эвакуировали множество объектов: №%:№%:2019-01-31 13:13:21№%:№%:104083518
Перекрыли выезд с шайбы в сторону Квадро№%:№%:2019-01-31 13:04:18№%:№%:104083518
Торговый центр "Орбита" эвакуировали. На месте работают :пожарные, МЧС, полиция, скорая. Причины пока не известны.№%:№%:2019-01-31 10:43:31№%:№%:104083518
Дон№%:№%:2019-01-31 10:02:54№%:№%:104083518
Граффити на 2-м посёлке№%:№%:2019-01-31 09:30:03№%:№%:104083518
Поездка из Донской столицы в город-спутник Батайск и обратно на автобусах маршрута №202 сравнима с полетом в самолете во время турбулентности! №%:№%:2019-01-31 08:47:19№%:№%:104083518
Доброе утро!№%:№%:2019-01-31 08:45:42№%:№%:104083518
Недавно на Красноармейской/ Ворошиловском бомжи повыворачивали мусорные баки. А сегодня их вообще спалили.№%:№%:2019-01-31 08:27:55№%:№%:104083518
Долина Калитвы. На горизонте, в дымке — граница Тарасовского и Миллеровского района.№%:№%:2019-01-31 08:16:29№%:№%:104083518
Здравствуйте. Прошу Вас оказать содействие и разместить пост в Вашей группе. На эту группу подписано много Шахтинцев. Информация проверенная. №%:№%:2019-01-31 03:03:09№%:№%:104083518
Я научился жить с женщиной. Это не так, как пишут в романах. Например, я не знал, что длинные волосы у женщины — это не только редкая красота, касающаяся ее поясницы, ее женственность и шарм. Но и аккуратность в самую первую очередь с моей стороны. Ведь, когда она лежит рядом со мной, я должен обязательно помнить о том, что нужно убрать сначала ее волосы с подушки, а затем прилечь к ней ближе. Это со временем становится привычкой. №%:№%:2019-01-31 01:10:19№%:№%:104083518
Коммунистический - перекрёсток...№%:№%:2019-01-31 00:40:39№%:№%:104083518
Вот такие фонари на солнечных батареях начали устанавливать на Северном№%:№%:2019-01-31 00:30:34№%:№%:104083518
Русло Дона, красиво разрезающее город на две половинки№%:№%:2019-01-30 23:54:29№%:№%:104083518
№%:№%:2019-01-30 23:51:50№%:№%:104083518
Прогулка по Ростову№%:№%:2019-01-30 22:46:12№%:№%:104083518
"Я - легенда" ("I'm a legend") №%:№%:2019-01-30 22:27:35№%:№%:104083518
У нас пол Ростова — опти**исты 😄№%:№%:2019-01-30 21:15:01№%:№%:104083518
Медики Миллеровской районной больницы упрекнули мужчину в том, что он помог пациенту. Скандал попал на видео.№%:№%:2019-01-30 21:13:30№%:№%:104083518
№%:№%:2019-01-30 21:06:14№%:№%:104083518
😁№%:№%:2019-01-30 20:52:22№%:№%:104083518
Вот так же отцветем и мы №%:№%:2019-01-30 20:31:33№%:№%:104083518
На Ерёменко воры выставили машину№%:№%:2019-01-30 20:12:25№%:№%:104083518
№%:№%:2019-01-30 18:49:02№%:№%:104083518
№%:№%:2019-01-30 18:27:24№%:№%:104083518
Ростовский ЦУМ№%:№%:2019-01-30 18:21:28№%:№%:104083518
Попросила мужа купить колготки№%:№%:2019-01-30 17:41:19№%:№%:104083518
Кумженская роща№%:№%:2019-01-30 17:24:28№%:№%:104083518
Стоит третий день, поворот на Платов с М4. Может потерял кто?№%:№%:2019-01-30 17:00:59№%:№%:104083518
🔞⚠️С Вами Ростовский Каскадёр. На этот раз я выполнил самый смертельный и сложный силовой трюк . С участием заброшенной Ростовской башни (60м) и гирей 16кг. Совершив вис на одной руке и несколько подтягиваний в тот момент , когда на поясе была гиря. Трюк выполнял без малейшей страховки . Не повторять!!!! Опасно для жизни !!!! Сделано профессионалом !!! ⛔️№%:№%:2019-01-30 16:26:44№%:№%:104083518
Подписчица: «В продолжение вчерашнего треша тоже хочу поделиться своей любовью к Автоколонне-1559😡№%:№%:2019-01-30 16:12:47№%:№%:104083518
№%:№%:2019-01-30 15:25:27№%:№%:104083518
Сегодня 62 день рождения у губернатора Ростовской области - Голубева Василия Юрьевича. Поздравляем с Днём Рождения!№%:№%:2019-01-30 14:56:31№%:№%:104083518
🎶Музыкальная пауза.№%:№%:2019-01-30 14:48:08№%:№%:104083518
Подписчик сообщает: «Большая Садовая, 51. От здания откололся кирпич и упал в полуметре от меня и двоих коллег. Нам повезло, а вот другим может не повезет и их голова познакомится с очередным подающим кирпичом.»№%:№%:2019-01-30 14:28:17№%:№%:104083518
