Заседание коллегии департамента№%:№%:2019-02-01 19:04:30№%:№%:41830487
Специалисты Костромаэнерго в 2018 году приняли более 25 тысяч обращений потребителей№%:№%:2019-02-01 16:05:43№%:№%:41830487
С завтрашнего дня «подрастут» социальные выплаты№%:№%:2019-01-31 17:04:25№%:№%:41830487
В Костроме пройдёт благотворительная экологическая акция «Добрый пластик»№%:№%:2019-01-31 16:03:50№%:№%:41830487
Решением суда у гражданина изъят земельный участок сельскохозяйственного назначения из-за ненадлежащего использования в соответствии с видом разрешенного использования№%:№%:2019-01-31 15:04:04№%:№%:41830487
Осторожно, сход снега с крыш зданий№%:№%:2019-01-30 15:06:09№%:№%:41830487
Названы победители и призеры X областного фестиваля снежно-ледовых скульптур№%:№%:2019-01-30 12:03:08№%:№%:41830487
Костромичам предлагают выбрать место установки памятника Минину и Пожарскому№%:№%:2019-01-30 09:02:07№%:№%:41830487
Митинг посвященный 75-летию снятия блокады Ленинград№%:№%:2019-01-29 19:01:27№%:№%:41830487
X фестиваль-конкурс  «Кострома- Зимняя сказка»№%:№%:2019-01-29 09:01:09№%:№%:41830487
Впервые в Костромской области создана территория опережающего развития№%:№%:2019-01-28 21:02:51№%:№%:41830487
В Костроме задержали таксиста с поддельными правами№%:№%:2019-01-28 18:02:29№%:№%:41830487
Расчистка дорог от снега в Костроме ведется в усиленном режиме№%:№%:2019-01-27 21:02:07№%:№%:41830487
В Костроме бывший начальник ФКУ «Центр ГИМС МЧС России по Костромской области» осужден за взяточничество№%:№%:2019-01-27 20:03:28№%:№%:41830487
В Костроме названы победители и призеры X областного фестиваля снежно-ледовых скульптур№%:№%:2019-01-27 17:01:22№%:№%:41830487
Губернатором Сергеем Ситниковым в Костромской области введён режим повышенной готовности№%:№%:2019-01-25 18:01:19№%:№%:41830487
Работа на одну цель№%:№%:2019-01-25 14:03:40№%:№%:41830487
Старшее поколение костромичей приглашают на музыкальные вечера№%:№%:2019-01-25 12:05:01№%:№%:41830487
В Костроме обсуждают проект предстоящего благоустройства парка Победы№%:№%:2019-01-24 20:02:04№%:№%:41830487
В суде прокомментировали слишком «мягкий» приговор «мажору» на BMW№%:№%:2019-01-24 13:02:43№%:№%:41830487
В Костроме пройдут торжественные мероприятия к 75-летию полного освобождения Ленинграда от фашистской блокады№%:№%:2019-01-23 19:05:16№%:№%:41830487
Пришло время отчитаться№%:№%:2019-01-23 14:10:22№%:№%:41830487
Автобус 103 маршрута будет заходить в санаторий «Колос»№%:№%:2019-01-22 19:02:34№%:№%:41830487
Вниманию жителей региона№%:№%:2019-01-22 15:05:09№%:№%:41830487
ПАМЯТКА о правилах эксплуатации печей№%:№%:2019-01-21 18:03:19№%:№%:41830487
