Вниманию автолюбителей: кольцо у танка снова главная дорога №%:№%:2019-01-26 12:18:21№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-02-01 17:00:01№%:№%:60460495
В рамках аварийного ремонта привели в порядок свыше 2 тысяч м2 липецких дорог №%:№%:2019-02-01 16:44:50№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-02-01 15:40:15№%:№%:60460495
Юных липчан приглашают на День Пришвина№%:№%:2019-02-01 15:28:46№%:№%:60460495
Частный сектор районов ЛТЗ и Заречья останется без электричества№%:№%:2019-02-01 14:43:20№%:№%:60460495
Стартовал очередной конкурс по выдаче субсидий НКО №%:№%:2019-02-01 14:25:29№%:№%:60460495
Большие перемены в микрорайоне «Университетский» вынесли на публичные слушания №%:№%:2019-01-31 17:23:15№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-31 16:56:44№%:№%:60460495
Московский виртуоз привезёт в Липецк романтику Франции№%:№%:2019-01-31 14:15:40№%:№%:60460495
В 2019 году преобразятся 35 дворов Липецка №%:№%:2019-01-31 13:40:15№%:№%:60460495
Объёмы работ по капитальному ремонту МКД на 2019 год обсудили в администрации Липецка№%:№%:2019-01-31 08:43:07№%:№%:60460495
Какой театр интересен современному зрителю?№%:№%:2019-01-30 17:51:41№%:№%:60460495
Рыболовов призывают помочь предотвратить замор рыбы на водоемах города №%:№%:2019-01-30 17:29:18№%:№%:60460495
Без холодной воды останутся несколько улиц и ряд учреждений Липецка№%:№%:2019-01-30 15:39:57№%:№%:60460495
Сергей Иванов: Это провокация, которая подтвердила профессионализм профильных служб и руководителей учреждений №%:№%:2019-01-30 15:01:01№%:№%:60460495
Липчан призывают быть бдительнее №%:№%:2019-01-30 11:34:44№%:№%:60460495
Через 2,5 месяца Липецк перейдёт на цифровое телевещание. В мэрии обсудили, насколько горожане готовы к переменам№%:№%:2019-01-29 17:59:54№%:№%:60460495
В Липецке выберут лучшего учителя№%:№%:2019-01-29 17:56:25№%:№%:60460495
Прием заявлений на обучение в первом классе начнется 1 февраля №%:№%:2019-01-29 17:20:37№%:№%:60460495
Микробы для очистки отопительных систем и онлайн проверка домашних заданий - встреча с резидентами Сколково состоялась в мэрии№%:№%:2019-01-29 16:45:16№%:№%:60460495
Сотни тонн песка, десятки единиц техники и целый штат специалистов – Липецк готовится к пропуску паводковых вод №%:№%:2019-01-29 16:17:44№%:№%:60460495
Изменилась стоимость услуги по обращению с твердыми коммунальными отходами для жителей частных домов№%:№%:2019-01-29 15:22:20№%:№%:60460495
Продолжить обновление спецтехники для уборки города планируют в Липецке№%:№%:2019-01-29 08:53:05№%:№%:60460495
В городе готовятся к большому весеннему паводку№%:№%:2019-01-29 08:51:43№%:№%:60460495
Липчан приглашают на выставку французского кружева№%:№%:2019-01-28 17:31:34№%:№%:60460495
Формируется пятый состав Молодежного правительства Липецка№%:№%:2019-01-28 17:15:27№%:№%:60460495
Подвиг Ленинграда вспоминали в библиотеках Липецка №%:№%:2019-01-28 14:58:42№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому Липецкие спортсмены проплыли 265 км №%:№%:2019-01-28 14:16:19№%:№%:60460495
№%:№%:2019-01-28 13:58:08№%:№%:60460495
Отключения электроэнергии и питьевой воды: адреса№%:№%:2019-01-28 13:37:49№%:№%:60460495
Липчан приглашают на краеведческую конференцию в честь юбилея региона№%:№%:2019-01-28 11:19:43№%:№%:60460495
Городские службы в круглосуточном режиме устраняют последствия снегопада №%:№%:2019-01-28 10:53:50№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-28 10:33:05№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-28 10:30:27№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-28 10:25:11№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-28 10:21:55№%:№%:60460495
27 января - День полного освобождения советскими войсками города Ленинграда от блокады его немецко-фашистскими войсками (1944 год).Подробнее об этой и других славных страницах истории Отечества на сайте Российского военно-исторического общества№%:№%:2019-01-27 20:44:59№%:№%:60460495
Городские службы готовятся к сильному снегопаду№%:№%:2019-01-25 19:12:42№%:№%:60460495
В администрации Липецка ищут способы решения проблемы неприятного запаха в районе ЛТЗ№%:№%:2019-01-25 15:44:50№%:№%:60460495
В работу маршрутов № 7 и 2Т вносят изменения№%:№%:2019-01-25 14:57:47№%:№%:60460495
Отключение холодной воды: адреса на завтра№%:№%:2019-01-25 11:54:42№%:№%:60460495
В художественной школе имени Виктора Сорокина проведут противоаварийный ремонт №%:№%:2019-01-25 11:54:12№%:№%:60460495
Липецкие библиотекари составили рейтинг самых популярных книг№%:№%:2019-01-25 11:48:01№%:№%:60460495
Градостроители и активные липчане обсудили реконструкцию проспекта Победы№%:№%:2019-01-24 18:10:57№%:№%:60460495
Тротуар - не парковка. Сотрудники управлений ГИБДД и Советским округом провели рейд в центре города №%:№%:2019-01-24 17:00:07№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-24 15:46:01№%:№%:60460495
👍🏻 Поддержи трех липецких предпринимателей в голосовании за победу в национальной премии «Немалый Бизнес», которые по результатам №%:№%:2019-01-24 15:05:05№%:№%:60460495
Квест «С чего начинается Родина?» объединит порядка ста юных липчан №%:№%:2019-01-24 11:46:55№%:№%:60460495
Последствия снегопада устраняют более ста единиц спецтехники №%:№%:2019-01-24 10:44:29№%:№%:60460495
Музей народного и декоративно-прикладного искусства открывает Год театра№%:№%:2019-01-24 09:18:43№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-23 17:24:57№%:№%:60460495
Липецкий Дом музыки приглашает полистать «Золотые страницы» №%:№%:2019-01-23 17:19:52№%:№%:60460495
Юбилей региона, ЗОЖ и Год театра – липецкие умники и умницы сразились в интеллектуальном турнире№%:№%:2019-01-23 17:03:25№%:№%:60460495
Председателем департамента градостроительства и архитектуры назначен Александр Ковалев №%:№%:2019-01-23 15:25:58№%:№%:60460495
Заявление на социальную выплату участники подпрограммы «Ипотечное жилищное кредитование» могут подать до 28 февраля №%:№%:2019-01-23 15:08:44№%:№%:60460495
В Липецке начали демонтировать новогоднюю иллюминацию№%:№%:2019-01-23 13:00:00№%:№%:60460495
Новый год в МУП «Липецкий пассажирский транспорт» начинается с вручения ключей от новой техники №%:№%:2019-01-23 12:46:58№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-23 10:35:13№%:№%:60460495
В мэрии наградили лучших энергетиков и работников ЖКХ№%:№%:2019-01-23 09:55:00№%:№%:60460495
Скидки на госпошлины при заказе госуслуг онлайн продлены до конца 2020 года№%:№%:2019-01-23 09:46:52№%:№%:60460495
#здоровыйрегион #регион48 #липецкаяобласть #зож#ЗдоровыйрегионгородЛипецк№%:№%:2019-01-23 09:27:57№%:№%:60460495
В 11 классах 7 школ города частично приостановлены занятия №%:№%:2019-01-22 17:10:54№%:№%:60460495
На трёх улицах областного центра не будет холодной воды№%:№%:2019-01-22 16:42:52№%:№%:60460495
Содержанию городских территорий в зимний период посвятили совещание в администрации Липецка№%:№%:2019-01-22 16:08:20№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-22 15:48:32№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-22 14:40:44№%:№%:60460495
Липчан призывают высказать свое мнение о том, как повысить безопасность использования бытового газа№%:№%:2019-01-22 13:13:26№%:№%:60460495
Энергетики готовы к пиковым нагрузкам в сильные морозы№%:№%:2019-01-22 10:24:59№%:№%:60460495
«Я, конечно, вернусь...». Липчане споют песни и прочтут стихи Владимира Высоцкого №%:№%:2019-01-22 10:11:15№%:№%:60460495
#здоровыйрегион #регион48 #липецкаяобласть #зож#ЗдоровыйрегионгородЛипецк№%:№%:2019-01-22 09:04:14№%:№%:60460495
Юным талантам Липецка вручили именные стипендии№%:№%:2019-01-21 17:27:35№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-21 16:46:55№%:№%:60460495
Введена новая мера социальной поддержки молодых семей при рождении первого ребенка№%:№%:2019-01-21 15:16:31№%:№%:60460495
Липецкая область отпраздновала юбилей салютом, народными гуляниями и спортивным праздником №%:№%:2019-01-21 15:10:31№%:№%:60460495
Движение транспорта через железнодорожный переезд по ул. Орловской будет временно ограничено №%:№%:2019-01-21 14:21:04№%:№%:60460495
Екатерина Белокопытова: «2019 год станет важным этапом в реализации концепции «Умный город Липецк»№%:№%:2019-01-21 14:06:13№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-21 14:00:37№%:№%:60460495
