В субботу в Астраханской области ожидается небольшой снег№%:№%:2019-02-01 17:20:31№%:№%:56786071
В Астрахани стартовал проект «Здоровый регион – здоровая Россия»№%:№%:2019-02-01 17:06:01№%:№%:56786071
Новые данные об аресте глав Камызякского района и города Камызяк№%:№%:2019-02-01 17:04:52№%:№%:56786071
Астраханцев вновь приглашают на «День дублёра»№%:№%:2019-02-01 16:55:09№%:№%:56786071
В Астраханской области открыты объезды аварийных мостов№%:№%:2019-02-01 16:35:09№%:№%:56786071
В Астрахань приедет замминистра просвещения России№%:№%:2019-02-01 15:35:12№%:№%:56786071
В Астрахани невидимый для водителей пешеходный переход оснастили светофором№%:№%:2019-02-01 15:25:16№%:№%:56786071
Бывшие бухгалтеры астраханского колледжа пойдут под суд за хищение более 12 млн рублей№%:№%:2019-02-01 15:16:00№%:№%:56786071
Трое астраханцев вступили в сговор с браконьерами ради больших денег№%:№%:2019-02-01 15:05:16№%:№%:56786071
В Икрянинском районе построят два ФАПа№%:№%:2019-02-01 14:16:30№%:№%:56786071
В Астрахани пройдёт акция по раздельному сбору мусора№%:№%:2019-02-01 14:02:25№%:№%:56786071
Жителям астраханских сёл стал доступен высокотехнологичный медицинский комплекс нового поколения№%:№%:2019-02-01 13:55:20№%:№%:56786071
В Астрахани продавец рыбы обманула бизнесмена на 800 тысяч рублей№%:№%:2019-02-01 13:40:29№%:№%:56786071
Перегруз в астраханских маршрутках не самое страшное (ВИДЕО)№%:№%:2019-02-01 12:32:40№%:№%:56786071
В Астрахани таксистку-наркоторговку задержали в день рождения (ВИДЕО)№%:№%:2019-02-01 12:25:11№%:№%:56786071
Астраханцы похищали с предприятия технологическую жидкость и продавали её под видом солярки№%:№%:2019-02-01 12:20:50№%:№%:56786071
Главного врача одной из астраханских поликлиник подозревают в получении взяток№%:№%:2019-02-01 12:05:15№%:№%:56786071
Астраханский ТЮЗ приглашает на спектакль «В кругу друзей»№%:№%:2019-02-01 11:16:14№%:№%:56786071
Астраханец купил на фальшивые деньги 2 литра водки и 3 литра пива№%:№%:2019-02-01 10:06:28№%:№%:56786071
