№%:№%:2019-02-02 10:00:12№%:№%:33412153
В Йошкар-Оле "сотрудники" ГИБДД "развели" архитектора на алкоголь№%:№%:2019-02-02 09:00:04№%:№%:33412153
Увидели редкое явление и сфотографировали его или сняли видео? Сообщите об этом в "Pro Город" по телефонам: 304-310 или 31-40-60. №%:№%:2019-02-02 08:30:00№%:№%:33412153
Экс-глава Марий Эл мог отправится в карцер из-за портрета Путина №%:№%:2019-02-02 08:00:04№%:№%:33412153
Доброе утро субботы!№%:№%:2019-02-02 07:30:00№%:№%:33412153
В Йошкар-Оле силовики окружили школу и вывели детей на улицу №%:№%:2019-02-02 07:00:02№%:№%:33412153
«Соседские войны»: на что готовы йошкаролинцы за парковочное место? №%:№%:2019-02-02 06:00:02№%:№%:33412153
Депутат Госдумы помог жителям Марий Эл «отвоевать» озеро №%:№%:2019-02-02 05:00:01№%:№%:33412153
Марий Эл переходит на цифровое телевидение: что это значит? №%:№%:2019-02-02 04:00:01№%:№%:33412153
Почему в Марий Эл загорелся мебельный цех, который тушили несколько часов? №%:№%:2019-02-02 03:00:01№%:№%:33412153
Доброй ночи! 😉№%:№%:2019-02-01 23:55:00№%:№%:33412153
В Марий Эл после капремонта открыли Центр физической культуры и спорта №%:№%:2019-02-01 23:30:00№%:№%:33412153
На бульваре Чавайна теперь появился новый дорожный знак №%:№%:2019-02-01 23:00:03№%:№%:33412153
Новые законы в феврале: чего ждать йошкаролинцам?№%:№%:2019-02-01 22:30:01№%:№%:33412153
Маленький котик отморозил себе лапы настолько, что почти не осталось "живого" места№%:№%:2019-02-01 22:00:06№%:№%:33412153
В Марий Эл приостановили работу торгового центра№%:№%:2019-02-01 21:30:01№%:№%:33412153
Леонид Маркелов несколько дней прожил в ожидании карцера№%:№%:2019-02-01 21:00:07№%:№%:33412153
Последний день! Успейте купить крутые футболки от 170 рублей до 31 января №%:№%:2019-02-01 20:00:04№%:№%:33412153
Вечерний чат по сообщению от читателей #ЙошкарОла№%:№%:2019-02-01 19:45:00№%:№%:33412153
Жители Марий Эл примут участие в "Лыжне России"№%:№%:2019-02-01 19:30:03№%:№%:33412153
В центре Йошкар-Олы на ночь ограничат движение авто №%:№%:2019-02-01 19:10:05№%:№%:33412153
«Горномарийский кравец» стал первым национальным брендом Марий Эл№%:№%:2019-02-01 18:50:00№%:№%:33412153
Марий Эл переходит на цифровое телевидение: что это значит?№%:№%:2019-02-01 18:30:03№%:№%:33412153
№%:№%:2019-02-01 18:00:12№%:№%:33412153
О погоде в Йошкар-Оле — выходные ожидаются теплыми и снежными№%:№%:2019-02-01 17:50:00№%:№%:33412153
Почему в Марий Эл загорелся мебельный цех, который тушили несколько часов? №%:№%:2019-02-01 17:30:02№%:№%:33412153
Жителю Марий Эл грозит два года тюрьмы за «угнанную» тачку№%:№%:2019-02-01 17:10:07№%:№%:33412153
Ученые: завтрак не способствует похудению йошкаролинцев№%:№%:2019-02-01 16:50:00№%:№%:33412153
О погоде на февраль в Йошкар-Оле: ждать ли солнечных дней?№%:№%:2019-02-01 16:30:02№%:№%:33412153
В Марий Эл спасатели разыскивают пропавшую женщину-инвалида№%:№%:2019-02-01 16:10:00№%:№%:33412153
Стало известно, когда «закроют» для большегрузов трассы Марий Эл№%:№%:2019-02-01 15:50:00№%:№%:33412153
В Йошкар-Оле на бульваре Чавайна установили новый дорожный знак№%:№%:2019-02-01 15:30:03№%:№%:33412153
Йошкар-Ола в страхе: по улицам бегает злая стая собак№%:№%:2019-02-01 15:10:04№%:№%:33412153
Олимпийская чемпионка России посетит финал «КЭС-БАСКЕТ» в Марий Эл№%:№%:2019-02-01 14:50:00№%:№%:33412153
Онлайн-тест для йошкаролинцев: узнайте, какой вы овощ№%:№%:2019-02-01 14:30:03№%:№%:33412153
Авторская колонка: движение в Йошкар-Оле затрудняет инвалид на коляске№%:№%:2019-02-01 14:10:01№%:№%:33412153
Какие изменения ждут йошкаролинцев с февраля?№%:№%:2019-02-01 13:50:00№%:№%:33412153
Стали известно, почему силовики окружили школу в Йошкар-Оле№%:№%:2019-02-01 13:30:02№%:№%:33412153
№%:№%:2019-02-01 13:00:05№%:№%:33412153
В Марий Эл после столкновения Renault и Daewoo «разлетелись» по сугробам№%:№%:2019-02-01 12:40:00№%:№%:33412153
В Марий Эл открыли обновленный Центр физической культуры и спорта№%:№%:2019-02-01 12:20:01№%:№%:33412153
В Йошкар-Оле брошенный котенок отморозил себе лапки№%:№%:2019-02-01 12:00:15№%:№%:33412153
№%:№%:2019-02-01 11:00:04№%:№%:33412153
«Соседские войны»: на что готовы йошкаролинцы за парковочное место?№%:№%:2019-02-01 10:50:00№%:№%:33412153
Депутат Госдумы помог жителям Марий Эл «отвоевать» озеро№%:№%:2019-02-01 10:30:03№%:№%:33412153
№%:№%:2019-02-01 10:00:07№%:№%:33412153
В Йошкар-Оле силовики окружили школу и вывели детей на улицу№%:№%:2019-02-01 09:40:00№%:№%:33412153
Экс-глава Марий Эл чуть не попал в карцер из-за портрета Путина№%:№%:2019-02-01 09:20:00№%:№%:33412153
Увидели редкое явление и сфотографировали его или сняли видео? Сообщите об этом в "Pro Город" по телефонам: 304-310 или 31-40-60. №%:№%:2019-02-01 08:30:00№%:№%:33412153
Небезопасно: в Марий Эл «прикрыли» торговый центр№%:№%:2019-02-01 08:00:09№%:№%:33412153
Александр Евстифеев попал в ТОП рейтинга глав по отношению к распространению печатных СМИ№%:№%:2019-02-01 07:30:00№%:№%:33412153
№%:№%:2019-02-01 07:00:03№%:№%:33412153
Доброе утро, друзья!№%:№%:2019-02-01 06:30:00№%:№%:33412153
В Марий Эл отремонтируют более 25 километров федеральных дорог №%:№%:2019-02-01 06:00:02№%:№%:33412153
Перечень базовых видов спорта Марий Эл дополнят №%:№%:2019-02-01 05:00:01№%:№%:33412153
Хроника ДТП: под колесами ГАЗ оказалась 21-летняя йошкаролинка№%:№%:2019-02-01 04:00:01№%:№%:33412153
С 31 января жители Марий Эл могут узнать личный кредитный рейтинг №%:№%:2019-02-01 03:00:01№%:№%:33412153
Спокойной ночи, дорогие читатели№%:№%:2019-01-31 23:55:00№%:№%:33412153
Щенят выбросили в лес на растерзание диким животным№%:№%:2019-01-31 23:30:00№%:№%:33412153
Александр Евстифеев «упал» в рейтинге влиятельных глав регионов №%:№%:2019-01-31 23:00:03№%:№%:33412153
В Марий Эл школьники вывели из огня маленьких детишек (ВИДЕО) №%:№%:2019-01-31 22:30:01№%:№%:33412153
В Йошкар-Оле мошенники "проверяют" организации и "впаривают" книги №%:№%:2019-01-31 22:00:08№%:№%:33412153
В поселке Марий Эл мебельных цех тушили несколько часов №%:№%:2019-01-31 21:30:01№%:№%:33412153
Как вести себя йошкаролинцам при эвакуации: 7 правил, которые помогут спасти жизнь №%:№%:2019-01-31 21:00:06№%:№%:33412153
В Йошкар-Оле на Аллее здоровья вандалы украли…крышу №%:№%:2019-01-31 20:30:01№%:№%:33412153
Перинатальный скрининг в Марий Эл в числе лучших в России№%:№%:2019-01-31 20:00:12№%:№%:33412153
Вечерний чат №%:№%:2019-01-31 19:45:00№%:№%:33412153
В Марий Эл отремонтируют более 25 километров федеральных дорог№%:№%:2019-01-31 19:30:03№%:№%:33412153
№%:№%:2019-01-31 19:00:08№%:№%:33412153
Роскошная жизнь: ТОП-5 самых дорогих квартир в Йошкар-Оле№%:№%:2019-01-31 18:50:00№%:№%:33412153
В Марий Эл детишкам, которых вытаскивали из огня через окно, нужна помощь№%:№%:2019-01-31 18:30:02№%:№%:33412153
