№%:№%:2018-10-26 17:18:33№%:№%:12973535
Для омичей создали онлайн-карту масленичных мероприятий№%:№%:2018-02-12 10:26:49№%:№%:12973535
№%:№%:2018-02-09 09:07:53№%:№%:12973535
Туман в Омске оказался радиационным №%:№%:2018-02-08 17:03:11№%:№%:12973535
МЧС порекомендовало омичам не выходить на улицу.№%:№%:2018-01-26 16:35:27№%:№%:12973535
№%:№%:2018-01-26 11:37:41№%:№%:12973535
Бурков посоветовал омским студентам попробовать себя в бизнесе №%:№%:2018-01-26 11:27:06№%:№%:12973535
Сотрудникам мэрии Омска поднимут зарплату.№%:№%:2018-01-25 13:37:19№%:№%:12973535
Треть омичей думает о работе как о наказании.№%:№%:2018-01-25 13:18:44№%:№%:12973535
Из-за проблем с интернетом омич пришёл к провайдеру с топором.№%:№%:2018-01-25 10:57:19№%:№%:12973535
Популярный интервьюер Дудь спросил у политика разницу между тюрьмой и омскими Нефтяниками.№%:№%:2018-01-24 12:00:18№%:№%:12973535
Аномальные холода покинут Омск в конце недели№%:№%:2018-01-24 11:26:44№%:№%:12973535
Врио губернатора Александр Бурков принял решение сделать 23 января в регионе днем траура. Сегодня, во вторник, на территории области приспустили государственные флаги и отменили все развлекательные мероприятия.№%:№%:2018-01-23 11:49:37№%:№%:12973535
В Омске задержали организаторов подпольного казино №%:№%:2018-01-22 13:31:02№%:№%:12973535
❗ При пожаре в частном доме рабочего поселка Седельниково Омской области погибли пятеро детей. Это девочки 6, 10, 11 и 18 лет, а также 16-летний мальчик. Все они были приемными.№%:№%:2018-01-22 12:39:08№%:№%:12973535
Л — логика№%:№%:2018-01-22 12:30:04№%:№%:12973535
Пьяный 31-летний омич зарезал своего приятеля. Все началось с драки на Молодежной улице в Омске. Причиной конфликта стал отказ мужчины ехать со своим знакомым окунаться в прорубь, вместо этого он предпочел отправиться с другими друзьями.№%:№%:2018-01-22 12:00:20№%:№%:12973535
Из-за мороза не все омские маршрутки смогли выйти на работу.№%:№%:2018-01-22 11:37:59№%:№%:12973535
Омичи выложили на льду Иртыша эмбриона из 400 свечей.№%:№%:2018-01-21 13:47:35№%:№%:12973535
Аномальный холод продлится в Омской области почти неделю.№%:№%:2018-01-19 13:21:45№%:№%:12973535
«ОмскВодоканал» обнаружил, что на Крещение в воде из крана не образуются микробы.№%:№%:2018-01-18 15:20:01№%:№%:12973535
В начале февраля в Омск привезут экологическую лабораторию «Чистый воздух». Она представляет собой передвижной пост наблюдения за состоянием воздуха. Оборудование позволяет обнаруживать концентрации оксида азота, диоксида азота, оксида углерода (угарного газа), диоксида серы, сероводорода, аммиака и метана№%:№%:2018-01-18 14:57:37№%:№%:12973535
На работы выделено порядка 200 миллионов рублей.№%:№%:2018-01-18 13:10:17№%:№%:12973535
Омские врачи в 2018 году будут получать по 54 тысячи рублей в месяц №%:№%:2018-01-18 11:15:16№%:№%:12973535
❄ При погружении в ледяную воду полностью может случиться спазм сосудов головного мозга.№%:№%:2018-01-17 13:34:52№%:№%:12973535
В 17:00 часов кандидат в президенты Ксения Собчак встретиться с горожанами в гостинице «Турист». Днем она встретилась с волонтерами, журналистами и гражданами, записавшимися на личный прием №%:№%:2018-01-17 12:40:00№%:№%:12973535
В пятницу в Омской области ударят 30-градусные морозы №%:№%:2018-01-17 12:25:00№%:№%:12973535
В Омске создали экологическую валюту – кедрокоин.№%:№%:2018-01-17 11:54:50№%:№%:12973535
