Недавно кто-то сфотографировал и выложил в соцсети картины пенсионера Виктора Клевцова. Он уже несколько лет расписывает стены подъездов и гаражей на Металлургов, 14. Вспоминаем историю этого замечательного дедушки.№%:№%:2019-02-01 17:00:11№%:№%:62621848
Пока одни жители дома на Гастелло убирают мусор, другие буквально за ночь вновь заваливают им подъезды.№%:№%:2019-02-01 16:38:01№%:№%:62621848
Над Красноярском появилось гало! Но не гало единым — мы собрали фотоподборку сурового и красивого морозного Красноярска ❄№%:№%:2019-02-01 16:04:57№%:№%:62621848
Ну конечно пока все не так уж и плохо, но было гораздо лучше. Мы сравнили воздух за последние три дня, и во вторник он был просто идеальный! 💨№%:№%:2019-02-01 15:01:21№%:№%:62621848
Если вы давно нас читаете, наверняка помните это громкое дело — главного бухгалтера полиции (теперь уже бывшего главного бухгалтера) осудили на 13 лет за хищения в 130 млн рублей. №%:№%:2019-02-01 13:43:02№%:№%:62621848
На сайте мэрии Красноярска проходило голосование за те места, которые будут благоустраивать в этом году. Больше 4 тысяч красноярцев поучаствовали в голосовании и выбрали 14 мест. Среди них - правобережная набережная, которая стала безусловным лидером голосования. №%:№%:2019-02-01 12:27:11№%:№%:62621848
Это я приодел носочки на время жутких морозов ❄№%:№%:2019-02-01 12:00:34№%:№%:62621848
Полицейские выяснили, что при -30 градусов реагент теряет свои свойства и становится даже опасен из-за того, что водители неправильно оценивают состояние дороги, которая на самом деле покрыта тонким слоем льда.№%:№%:2019-02-01 11:43:17№%:№%:62621848
Почти весь месяц будет холодно, зато последние пять дней синоптики пообещали нам радость, счастье и потепление до +5 градусов. Хорошо, что февраль короткий месяц и ждать осталось совсем недолго.№%:№%:2019-02-01 11:23:17№%:№%:62621848
Полторы недели неизвестные "минировали" все города страны. Мы следили за происходящим во всех городах и обратили внимание, что эвакуации обошли стороной такой крупный город как Челябинск. Наши коллеги с сайта 74.RU раскрыли секрет: как сообщил их источник в полиции, анонимные письма получили несколько десятков местных учреждений. Но многие почему-то приняли решение игнорировать их. Может, и в нашем городе были такие "смелые" руководители?№%:№%:2019-02-01 11:18:25№%:№%:62621848
Сумма и сейчас довольно солидная, а уж в 2004 году - тем более.№%:№%:2019-02-01 11:17:36№%:№%:62621848
Смотрите самые красивые новогодние витрины, дворы и офисы. Как считаете, справедливо выбрали победителей?№%:№%:2019-02-01 10:12:10№%:№%:62621848
Разыскиваются родные девушки, которую нашли погибшей целых 6 лет назад. Ее тело было найдено на "Малом обходе". До сих пор не установлена даже ее личность.№%:№%:2019-02-01 09:25:57№%:№%:62621848
Сегодня в Красноярске стартовала запись школьников в первые классы. В былые годы родители устраивались ночные дежурства возле школ и "держали вахту". №%:№%:2019-02-01 08:36:20№%:№%:62621848
При температуре - 32 ученики начальных классов могли остаться дома. Мы узнали, в каких школах дети не боятся мороза.№%:№%:2019-02-01 07:54:25№%:№%:62621848
Наступил первый день последнего месяца зимы, а значит самое время посмотреть, что поменяется в нашей жизни с 1 февраля. №%:№%:2019-02-01 07:52:11№%:№%:62621848
Некоторые кондукторы сегодня оказались не в курсе, что Минтранс договорился с их начальникам о транспортных картах. Отказывать не имеют права. Мы подготовили для вас инструкцию№%:№%:2019-02-01 07:11:08№%:№%:62621848
Вот и "Красное кольцо" для дрифтеров на три года выделили, а им все неймется - по городу обязательно надо рассекать!№%:№%:2019-02-01 05:34:16№%:№%:62621848
Хорошо быть белым мишкой - раз, и не мерзнешь :)№%:№%:2019-02-01 04:21:43№%:№%:62621848
С 1 февраля перевозчики грозились отменить проезд по транспортной карте. Чиновникам с Минтранса удалось с ними договориться об обратном, но вот кондукторы оказались не в курсе. №%:№%:2019-02-01 03:41:59№%:№%:62621848
Пришли таки злые морозы 😢 мы в режиме онлайн ведем трансляцию всего, что происходит в Красноярске - делитесь с нам вашими наблюдениями, фото и видео!№%:№%:2019-02-01 03:25:36№%:№%:62621848
