11 февраля мы переходим с аналогового вещания на цифру 📺№%:№%:2019-01-24 16:37:15№%:№%:41682535
С 1 февраля в Ульяновске, как и по всей России, будут проиндексированы все социальные выплаты, пособия и компенсации на 4,3%. Соответствующее постановление подписал премьер-министр страны Дмитрий Медведев. №%:№%:2019-02-01 17:21:00№%:№%:41682535
Зимние просторы Ульяновской области ❄№%:№%:2019-02-01 15:56:01№%:№%:41682535
С какими проблемами могут столкнуться ульяновцы при переходе на «цифру», как настроить новую приставку, как получить льготы. Все ответы в новом выпуске программы «Диалог с властью».№%:№%:2019-02-01 14:31:43№%:№%:41682535
Восьмая международная IT-конференция «Стачка-2019» пройдёт с 26 по 27 апреля в Ленинском мемориале. По прогнозам организаторов, в этом году она соберет более 5,5 тысячи IT-специалистов со всей России. №%:№%:2019-02-01 13:11:01№%:№%:41682535
31 января министр промышленности и транспорта Дмитрий Вавилин провел встречу с региональными лидерами партии ЛДПР, депутатом Госдумы Сергеем Марининым и депутатом ЗСО Дмитрием Грачевым. Темой обсуждения стало обновление подвижного состава общественного транспорта муниципальных образований.№%:№%:2019-02-01 11:47:00№%:№%:41682535
Стадион «Труд»№%:№%:2019-02-01 10:38:52№%:№%:41682535
Щас Схожу: Куда сходить и где отдохнуть в Ульяновске 1-3 февраля №%:№%:2019-02-01 09:42:00№%:№%:41682535
Ульяновская область планирует несколько совместных проектов с австрийскими компаниями, например, в сфере альтернативной энергетики, машиностроении, станкостроении, в сфере инноваций, а также в сельском хозяйстве. №%:№%:2019-02-01 08:53:17№%:№%:41682535
Памятная книга «Письма с фронта (треугольники судьбы)» будет основана на фронтовых письмах ульяновцев, сообщают в управлении культуры и организации досуга населения администрации Ульяновска. Планируемый тираж издания – 1000 экземпляров, которые распространятся по библиотекам и школам Ульяновска и региона.№%:№%:2019-02-01 07:25:00№%:№%:41682535
Солнечный день в Ульяновской области №%:№%:2019-02-01 06:25:00№%:№%:41682535
Ulpravda.ru продолжает проект «НЕформат». Вся правда, все секреты любителей драйва, скорости, экстрима и необычных занятий. Наш корреспондент общается с интересными людьми Ульяновска и испытывает на себе то, чем герои программы занимаются годами. На это раз наша съемочная группа раскрыла секреты конного спорта.№%:№%:2019-01-31 22:21:13№%:№%:41682535
11 февраля в Ульяновской области будет отключено аналоговое телевидение и жители региона без специализированных приставок могут лишиться телевизионного сигнала, а вместе с ними и своих любимых сериалов, фильмов и телепередач. №%:№%:2019-01-31 17:58:00№%:№%:41682535
30 января Губернатор принял участие в пресс-конференции ТАСС, где обсуждались итоги работы региона в части регулирования тарифов. Сергей Морозов заявил об исключении из системы тарифообразования экономически необоснованных расходов инфраструктурных монополий в Ульяновской области.№%:№%:2019-01-31 16:45:00№%:№%:41682535
Железнодорожный вокзал Ульяновск-Центральный 🚂№%:№%:2019-01-31 15:30:47№%:№%:41682535
Школьная спортивная лига – региональный проект, который реализуется в Ульяновской области с 2015 года в рамках партийной программы «Детский спорт». В 2018-2019 годах в проекте участвует свыше восьми тысяч детей из более чем 200 школьных спортивных клубов. 2 февраля лига стартует в ульяновских школах № 47, 61, 51, 65, 66, в гимназиях №1, 59 и в Луговской основной школе.№%:№%:2019-01-31 14:12:00№%:№%:41682535
Первый заместитель председателя комитета Госдумы ФС РФ по промышленности, первый вице-президент Союза машиностроителей России Владимир Гутенёв дал положительную оценку результатам промышленной сферы Ульяновской области. Напомним, по итогам 2018 года индекс промышленного производства в регионе составил 101,8%, а на протяжении последних пяти лет этот показатель не опускался ниже 100%. №%:№%:2019-01-31 12:46:25№%:№%:41682535
На Свияге 🎿№%:№%:2019-01-31 11:39:00№%:№%:41682535
В ближайшие два года Ульяновская область планирует исключить экономически необоснованные расходы на сбыт электроэнергии на сумму 783,3 миллиона рублей.№%:№%:2019-01-31 10:31:00№%:№%:41682535
Бедность по всей России до сих пор остается острой социальной проблемой. И это несмотря на экономические успехи последних лет и наметившийся рост доходов населения. Поэтому президент России Владимир Путин поручил правительству снизить в два раза уровень бедности в России до 2024 года. В регионах идет активное обсуждение путей решения проблемы.№%:№%:2019-01-31 09:27:00№%:№%:41682535
В августе этого года в Ульяновске состоится чемпионат и первенство мира по стрельбе из арбалета. Ожидается, что на соревнования в областную столицу съедутся более 200 спортсменов, сообщает председатель правительства Ульяновской области Александр Смекалин. Турнир пройдёт с 12 по 17 августа, а 31 июля у нас состоится аналогичный всероссийский чемпионат.№%:№%:2019-01-31 08:25:00№%:№%:41682535
Доброе утро 😊№%:№%:2019-01-31 07:12:00№%:№%:41682535
28 января состоялось первое занятие в Центре профессиональных инсталляций при АО «Авиастар-СП». Он был создан в ульяновской школе №72 по инициативе директора Марины Алексеевой.№%:№%:2019-01-31 05:00:00№%:№%:41682535
Губернатор Ульяновской области Сергей Морозов встретился с депутатом Госдумы от ЛДПР Сергеем Марининым для обсуждения итогов 2018 года и плана работы на 2019 год. Глава региона сообщил, что темпы роста собственных доходов в 2018 году составили 112,6%, и отдельно поблагодарил Маринина, за помощь, которую тот оказал в привлечении федеральных средств в областную казну. №%:№%:2019-01-30 20:32:04№%:№%:41682535
Большой Президентский мост №%:№%:2019-01-30 19:43:00№%:№%:41682535
В Указе от 7 мая 2018 года Президент России Владимир Путин поставил задачу увеличить темпы жилищного строительства. К 2024 году эта цифра должна достичь 120 миллионов квадратных метров в год. №%:№%:2019-01-30 17:49:00№%:№%:41682535
Заместитель министра цифрового развития, связи и массовых коммуникаций России Алексей Волин высоко оценил готовность Ульяновской области к переходу на «цифру». В настоящее время в регионе полностью введено в строй все необходимое оборудование, гарантирующее возможность для 98,5% жителей региона принимать устойчивый цифровой сигнал.№%:№%:2019-01-30 16:45:00№%:№%:41682535
В заволжской школе № 72 открылся новый центр профессиональных инсталляций. Первой компетенцией, которой могут овладеть здесь школьники, станет программирование. №%:№%:2019-01-30 15:39:00№%:№%:41682535
Прямая трансляция: №%:№%:2019-01-30 14:32:30№%:№%:41682535
