В Кабардино-Балкарии после реконструкции открыли Дом культуры№%:№%:2019-02-01 18:07:57№%:№%:43044144
«Мы - одна команда!» Врио Главы Кабардино-Балкарии Казбек Коков встретился с победителями республиканского кадрового конкурса «Новая высота»№%:№%:2019-02-01 11:03:37№%:№%:43044144
Полицейскими г. Нальчика раскрыта кража в кафе№%:№%:2019-01-31 18:04:29№%:№%:43044144
В Нальчике задержан поставщик героина№%:№%:2019-01-31 17:06:12№%:№%:43044144
Состоялась рабочая встреча Казбека Кокова и Генерального директора компании «Россети» Павла Ливинского№%:№%:2019-01-31 11:05:14№%:№%:43044144
В Москве состоялась рабочая встреча врио Главы КБР Казбека Кокова  и Секретаря Генерального совета партии «Единая Россия», заместителя председателя Совета Федерации ФС РФ Андрея Турчака№%:№%:2019-01-30 18:03:31№%:№%:43044144
Внимание розыск!№%:№%:2019-01-29 16:05:35№%:№%:43044144
В Министерстве просвещения, науки и по делам молодежи состоялось подведение итогов Года добровольца в Кабардино-Балкарии. С волонтерами республики встретился Казбек Коков№%:№%:2019-01-29 11:04:19№%:№%:43044144
В День российского студенчества команда «Молодежки ОНФ» в Кабардино-Балкарии поздравила учащихся вузов и колледжей республики№%:№%:2019-01-28 22:02:54№%:№%:43044144
Спасатели приняли участие в турнире по голболу№%:№%:2019-01-28 20:02:32№%:№%:43044144
Торжественное открытие полуфинала конкурса управленцев «Лидеры России» по Северо-Кавказскому федеральному округу№%:№%:2019-01-28 16:04:15№%:№%:43044144
К.В.Коков посетил КБГУ им.Х.М.Бербекова и принял участие в работе образовательного интенсива РАНХиГС при Президенте РФ№%:№%:2019-01-28 10:04:16№%:№%:43044144
Торжественное открытие полуфинала конкурса управленцев «Лидеры России» по Северо-Кавказскому федеральному округу№%:№%:2019-01-27 16:02:19№%:№%:43044144
ПОЗДРАВЛЕНИЕ временно исполняющего обязанности Главы Кабардино-Балкарской Республики К.В.Кокова с Днём российского студенчества№%:№%:2019-01-25 13:06:30№%:№%:43044144
В Кабардино-Балкарии устанавливаются обстоятельства нападения на полицейских№%:№%:2019-01-24 22:03:22№%:№%:43044144
Кабардино-Балкарию с рабочей поездкой посетил Председатель Комиссии по ЖКХ, строительству и дорогам Общественной палаты России Игорь Шпектор№%:№%:2019-01-24 18:05:02№%:№%:43044144
Врио Главы КБР Казбек Коков принял участие в семинаре по вопросам реализации нацпроекта «Здравоохранение»№%:№%:2019-01-24 11:05:34№%:№%:43044144
В Москве состоялась рабочая встреча Казбека Кокова и первого заместителя директора Росгвардии, генерал-полковника Сергея Меликова№%:№%:2019-01-23 19:08:52№%:№%:43044144
Садовый дом необходимо оформить по закону№%:№%:2019-01-23 18:03:23№%:№%:43044144
О выявлении несоответствия установленным требованиям качества образца лекарственного препарата «ВитОкей№%:№%:2019-01-22 19:05:07№%:№%:43044144
По поручению врио Главы КБР урегулирована проблема зачета платежей населения за газ, принятых через кассовые терминалы одной из платежных систем№%:№%:2019-01-22 18:04:21№%:№%:43044144
