0,фотоотчитателя вне суеты вне пробок кумыска в последний день января,2019-02-01 17:30:03,27566010,['фотоотчитателя']
1,гусеницы надо натягивать в саратовской области встала военная техника которая должна расчищать дороги от снега подробнее,2019-02-01 17:00:12,27566010,[]
2,обычно объявления от частных лиц мы не публикуем но сегодня решили отойти от этого правила специально для администрации саратова и главы города михаила исаева публикуем вот такое объявление возможно эти ребята помогут очистить крыши и дворы города от снега раз вы не справляетесь своими силами сообщениеотчитателя чистим крыши тропинки частных домов все вопросы по телефону,2019-02-01 16:30:03,27566010,['сообщениеотчитателя']
3,дом на набережной фото максим подосинников,2019-02-01 16:00:11,27566010,[]
4,сообщениеотчитателя дорожная ситуация в саратове на ближайшие месяца,2019-02-01 15:32:02,27566010,['сообщениеотчитателя']
5,сообщениеотчитателя благоустроенная этой осенью на федеральные деньги улица рахова белоглинская все обычно люди толкают троллейбус чтобы ехать дальше извините за качество снимков делала с высокого этажа совершенно жуткая неочищенная дорога троллейбусы ездят по ней с большим трудом,2019-02-01 15:05:04,27566010,['сообщениеотчитателя']
6,вчера мы публиковали видео с трактором который вместо уборки снега находился в подвешенном состоянии и прокручивал колеса на проспекте энтузиастов так вот эксперт владелец крупного автопарка в саратове дал свое заключение этот тракторист точно накручивает других вариантов быть не может подробнее видео иа версия саратов,2019-02-01 14:37:00,27566010,[]
7,после скандального субботника в саратове мэр и депутат собрали директоров школ чтобы больше не подрывать доверие к власти подробнее фото канал пара слов,2019-02-01 14:00:12,27566010,[]
8,сообщениеотчитателя последний пост от читателя поразил просто типа пишет хватит ныть про саратов и что снег не убирают и сосульки на крышах и т д просто не верю что есть такие люди которым нравится все это состояние в саратове скорее всего такие посты клепают отчаявшиеся пиарщики городской администрации саратова они видят что много людей не довольны и пытаются безуспешно повлиять на общественное мнение,2019-02-01 13:30:03,27566010,['сообщениеотчитателя']
9,снежные узоры фото антон стариков,2019-02-01 13:00:13,27566010,[]
10,видеоотчитателя саратовцам уже ничего не остается кроме как шутить о наболевшем,2019-02-01 12:25:00,27566010,['видеоотчитателя']
11,сообщениеотчитателя история с убирающими снег в мешки учителями получила продолжение в одной из школ ленинского района всех учителей заставляют подписывать заявление следующего содержания см фото бесплатная рабочая сила молодцы,2019-02-01 12:15:01,27566010,['сообщениеотчитателя']
12,устье глебучева оврага строительство моста год фото,2019-02-01 12:05:10,27566010,[]
13,фото юрий шатохин,2019-02-01 11:30:03,27566010,[]
14,сообщениеотчитателя в пять утра обвалилась крыша дома по улице комсомольская г красноармейска саратовской области но информации по этому чп нигде нет по плану замена крыши по кап ремонту должна была состояться как раз в но летняя дама не дождалась в доме проживают пенсионеров заступиться некому администрация третьи сутки не могут принять меры только ходят и фотографируют со слов людей им предлагают починить крышу за свои средства по тыс с квартир тыс есть опасность обрушения дома так как перекрытия и лаги давят на стены очень хочется чтоб администрация решила вопрос побыстрее так как люди три дня живут в стрессе что сказывается на их здоровье,2019-02-01 11:00:11,27566010,['сообщениеотчитателя']
15,в колонии для особо опасных рецидивистов в саратовской области заключенных устроили погром подробнее,2019-02-01 10:30:03,27566010,[]
16,на этих выходных синоптики нам обещают морозную погоду гололед и изморозь температура упадет до посмотреть полный прогноз можно тут,2019-02-01 10:00:13,27566010,[]
