0,на бурятию надвигаются градусные морозы,2019-02-02 09:56:18,107493817,[]
1,в бурятии выросли зарплаты но упали доходы жителей,2019-02-02 09:54:06,107493817,[]
2,бурятская семья снялась для первого канала,2019-02-02 07:46:11,107493817,[]
3,на восстановление водоснабжения в улан удэ выделено млн рублей,2019-02-02 06:55:00,107493817,[]
4,в бурятии пожарные обследовали дацаны и места проведения костров дугжууба,2019-02-02 06:38:37,107493817,[]
5,в центральной россии по требованию жителей снизили цены на топливо,2019-02-02 06:20:00,107493817,[]
6,в бурятии будет создана тор,2019-02-02 06:05:00,107493817,[]
7,в улан удэ маленьким спортсменам приходится ютиться в тесном помещении лыжной базы,2019-02-02 05:45:00,107493817,[]
8,огромные налоги в бюджет и черная энергетика за и против игорной зоны на байкале,2019-02-02 05:25:00,107493817,[]
9,житель бурятии головой разбил зеркало в отделе полиции видео,2019-02-02 05:10:00,107493817,[]
10,появились новые видео с тигром ермаком в улан удэ,2019-02-02 04:50:00,107493817,[]
11,чем займутся в бурятии святой василис и корбобо,2019-02-02 04:28:07,107493817,[]
12,когда в выходной кто то просыпается раньше тебя и не дает спать,2019-02-02 03:45:00,107493817,[]
13,доброе утро любимый город,2019-02-02 03:10:00,107493817,[]
14,зурхай на февраля й лунный день,2019-02-02 02:45:00,107493817,[]
15,спокойной ночи пусть ночь будет наполнена уютом и покоем а утро принесет светлую радость,2019-02-01 17:00:01,107493817,[]
16,температура ночью в улан удэ опустится до,2019-02-01 16:45:00,107493817,[]
17,не знаете как ответить на вопросы детей о работе внутренних органов человека а может ваш ребенок мечтает стать врачом и вы уже сбились со счета от его почему тогда советуем посетить выставку внутри человека в гаук рб национальный музей республики бурятия на куйбышева тел,2019-02-01 15:30:00,107493817,[]
18,что интересного и необычного посетить в городе в этом месяце,2019-02-01 14:30:00,107493817,[]
19,в улан удэ из за коммунальной аварии введен режим чс,2019-02-01 13:40:00,107493817,[]
20,в улан удэ приедет алла михеева из вечернего урганта,2019-02-01 13:20:00,107493817,[]
21,сестры крепыши ждут своих мам пап если вы ищите надежного охранника для дома то они те кого вы искали осталось две сестры белка и стрелка белка идеальная охранница и компаньон сообразительная скромная проявляет охранные качества стрелка верная более привязанее к людям возраст собачек около мес они еще будут расти здоровы стерилизованы по росту выше колена в холке звоните и приезжайте знакомиться без собаки вы от нас не уедете,2019-02-01 13:03:15,107493817,[]
22,в россии отменят плату за вывоз сухого мусора,2019-02-01 12:45:00,107493817,[]
23,в бурятском отделении сбербанка ожидаются кадровые изменения,2019-02-01 12:30:03,107493817,[]
24,в бурятии пьяный мужчина кусал сотрудников дпс видео,2019-02-01 12:29:14,107493817,[]
25,может обратимся к дядюшке баиру,2019-02-01 12:00:16,107493817,[]
26,масштабы коммунальной аварии в улан удэ растут с каждым часом,2019-02-01 11:45:00,107493817,[]
27,жителей бурятии рассмешила покупка снега к сагаалгану,2019-02-01 11:30:11,107493817,[]
28,детский омбудсмен бурятии поделилась редкими фото из молодости,2019-02-01 10:40:00,107493817,[]
29,ламы бурятии озвучили астрологический прогноз на год,2019-02-01 10:21:52,107493817,[]
30,в улан удэ более многоквартирных домов осталось без горячей воды,2019-02-01 10:20:09,107493817,[]
31,в улан удэ произошла крупная коммунальная авария,2019-02-01 08:46:07,107493817,[]
32,бурятские лучники с пода завоевали три медали кубка россии,2019-02-01 07:10:00,107493817,[]
33,в улан удэ на сагаалган разыграют бытовую технику,2019-02-01 06:50:00,107493817,[]
34,теннисистка дари саханова дебютирует на турнире в америке,2019-02-01 06:32:44,107493817,[]
35,юрий трутнев посетил в бурятии нефритовое производство,2019-02-01 06:27:42,107493817,[]
36,завтра в бурятии резко похолодает,2019-02-01 05:53:39,107493817,[]
37,немного расстроилась детям из бурятии не удалось выиграть миллион,2019-02-01 05:35:12,107493817,[]
38,автомобили мэрии улан удэ обслужили сотни вызовов врачей на дом,2019-02-01 04:35:00,107493817,[]
39,в школах улан удэ продлили карантин,2019-02-01 04:20:00,107493817,[]
40,в бурятии учителя устали жить в нищете и прислуживать депутатам,2019-02-01 04:00:02,107493817,[]
41,с добрым утром друзья,2019-02-01 03:10:00,107493817,[]
42,зурхай на февраля й лунный день,2019-02-01 02:45:00,107493817,[]
